case,repeat,milestone,assigned_activity
OriginalDataset/ClaimsCreation,2,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,2,settlement.negotiated,
OriginalDataset/ClaimsCreation,2,outcome.communicated,Task_5
OriginalDataset/ClaimsCreation,2,process.ended,
OriginalDataset/ClaimsCreation,2,police_report.searched,
OriginalDataset/ClaimsCreation,2,police_report.filed,
OriginalDataset/ClaimsCreation,2,police_report_database.searched,
OriginalDataset/ClaimsCreation,2,claim_documentation.filed,
OriginalDataset/ClaimsCreation,2,file.assembled,Task_3
OriginalDataset/ClaimsCreation,2,file.input,
OriginalDataset/ClaimsCreation,2,initial_claim_estimate.calculated,
OriginalDataset/ClaimsCreation,2,initial_claim_estimate.negotiated,
OriginalDataset/ClaimsCreation,2,action_plan.created,
OriginalDataset/ClaimsCreation,2,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,2,settlement.negotiated,
OriginalDataset/ClaimsCreation,2,outcome.communicated,
OriginalDataset/ClaimsCreation,2,process.ended,
OriginalDataset/ClaimsCreation,2,police_report.searched,
OriginalDataset/ClaimsCreation,2,police_report.filed,
OriginalDataset/ClaimsCreation,2,police_report_database.searched,
OriginalDataset/ClaimsCreation,2,claim_documentation.filed,
OriginalDataset/ClaimsCreation,2,file.assembled,
OriginalDataset/ClaimsCreation,2,file.input,
OriginalDataset/ClaimsCreation,2,initial_claim_estimate.calculated,Task_0
OriginalDataset/ClaimsCreation,2,initial_claim_estimate.negotiated,
OriginalDataset/ClaimsCreation,2,action_plan.created,
OriginalDataset/ClaimsCreation,2,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,2,settlement.negotiated,
OriginalDataset/ClaimsCreation,2,outcome.communicated,
OriginalDataset/ClaimsCreation,2,process.ended,
OriginalDataset/ClaimsCreation,2,police_report.searched,
OriginalDataset/ClaimsCreation,2,police_report.filed,
OriginalDataset/ClaimsCreation,2,police_report_database.searched,
OriginalDataset/ClaimsCreation,2,claim_documentation.filed,
OriginalDataset/ClaimsCreation,2,file.assembled,
OriginalDataset/ClaimsCreation,2,file.input,
OriginalDataset/ClaimsCreation,2,initial_claim_estimate.calculated,
OriginalDataset/ClaimsCreation,2,initial_claim_estimate.negotiated,
OriginalDataset/ClaimsCreation,2,action_plan.created,Task_1
OriginalDataset/ClaimsCreation,2,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,2,settlement.negotiated,
OriginalDataset/ClaimsCreation,2,outcome.communicated,
OriginalDataset/ClaimsCreation,2,process.ended,
OriginalDataset/ClaimsCreation,2,police_report.searched,
OriginalDataset/ClaimsCreation,2,police_report.filed,
OriginalDataset/ClaimsCreation,2,police_report_database.searched,Task_2
OriginalDataset/ClaimsCreation,2,claim_documentation.filed,
OriginalDataset/ClaimsCreation,2,file.assembled,
OriginalDataset/ClaimsCreation,2,file.input,
OriginalDataset/ClaimsCreation,2,initial_claim_estimate.calculated,
OriginalDataset/ClaimsCreation,2,initial_claim_estimate.negotiated,
OriginalDataset/ClaimsCreation,2,action_plan.created,
OriginalDataset/ClaimsCreation,2,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,2,settlement.negotiated,
OriginalDataset/ClaimsCreation,2,outcome.communicated,
OriginalDataset/ClaimsCreation,2,process.ended,
OriginalDataset/ClaimsCreation,3,police_report.searched,
OriginalDataset/ClaimsCreation,3,police_report.filed,
OriginalDataset/ClaimsCreation,3,police_report_database.searched,
OriginalDataset/ClaimsCreation,3,claim_documentation.filed,
OriginalDataset/ClaimsCreation,3,file.assembled,
OriginalDataset/ClaimsCreation,3,file.input,
OriginalDataset/ClaimsCreation,3,initial_claim_estimate.calculated,
OriginalDataset/ClaimsCreation,3,initial_claim_estimate.negotiated,Task_4
OriginalDataset/ClaimsCreation,3,action_plan.created,
OriginalDataset/ClaimsCreation,3,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,3,settlement.negotiated,Task_4
OriginalDataset/ClaimsCreation,3,outcome.communicated,
OriginalDataset/ClaimsCreation,3,process.ended,
OriginalDataset/ClaimsCreation,3,police_report.searched,
OriginalDataset/ClaimsCreation,3,police_report.filed,
OriginalDataset/ClaimsCreation,3,police_report_database.searched,
OriginalDataset/ClaimsCreation,3,claim_documentation.filed,
OriginalDataset/ClaimsCreation,3,file.assembled,
OriginalDataset/ClaimsCreation,3,file.input,
OriginalDataset/ClaimsCreation,3,initial_claim_estimate.calculated,
OriginalDataset/ClaimsCreation,3,initial_claim_estimate.negotiated,
OriginalDataset/ClaimsCreation,3,action_plan.created,
OriginalDataset/ClaimsCreation,3,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,3,settlement.negotiated,
OriginalDataset/ClaimsCreation,3,outcome.communicated,Task_5
OriginalDataset/ClaimsCreation,3,process.ended,
OriginalDataset/ClaimsCreation,3,police_report.searched,
OriginalDataset/ClaimsCreation,3,police_report.filed,
OriginalDataset/ClaimsCreation,3,police_report_database.searched,
OriginalDataset/ClaimsCreation,3,claim_documentation.filed,
OriginalDataset/ClaimsCreation,3,file.assembled,Task_3
OriginalDataset/ClaimsCreation,3,file.input,
OriginalDataset/ClaimsCreation,3,initial_claim_estimate.calculated,
OriginalDataset/ClaimsCreation,3,initial_claim_estimate.negotiated,
OriginalDataset/ClaimsCreation,3,action_plan.created,
OriginalDataset/ClaimsCreation,3,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,3,settlement.negotiated,
OriginalDataset/ClaimsCreation,3,outcome.communicated,
OriginalDataset/ClaimsCreation,3,process.ended,
OriginalDataset/ClaimsCreation,3,police_report.searched,
OriginalDataset/ClaimsCreation,3,police_report.filed,
OriginalDataset/ClaimsCreation,3,police_report_database.searched,
OriginalDataset/ClaimsCreation,3,claim_documentation.filed,
OriginalDataset/ClaimsCreation,3,file.assembled,
OriginalDataset/ClaimsCreation,3,file.input,
OriginalDataset/ClaimsCreation,3,initial_claim_estimate.calculated,Task_0
OriginalDataset/ClaimsCreation,3,initial_claim_estimate.negotiated,
OriginalDataset/ClaimsCreation,3,action_plan.created,
OriginalDataset/ClaimsCreation,3,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,3,settlement.negotiated,
OriginalDataset/ClaimsCreation,3,outcome.communicated,
OriginalDataset/ClaimsCreation,3,process.ended,
OriginalDataset/ClaimsCreation,3,police_report.searched,
OriginalDataset/ClaimsCreation,3,police_report.filed,
OriginalDataset/ClaimsCreation,3,police_report_database.searched,
OriginalDataset/ClaimsCreation,3,claim_documentation.filed,
OriginalDataset/ClaimsCreation,3,file.assembled,
OriginalDataset/ClaimsCreation,3,file.input,
OriginalDataset/ClaimsCreation,3,initial_claim_estimate.calculated,
OriginalDataset/ClaimsCreation,3,initial_claim_estimate.negotiated,
OriginalDataset/ClaimsCreation,3,action_plan.created,Task_1
OriginalDataset/ClaimsCreation,3,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,3,settlement.negotiated,
OriginalDataset/ClaimsCreation,3,outcome.communicated,
OriginalDataset/ClaimsCreation,3,process.ended,
OriginalDataset/ClaimsCreation,3,police_report.searched,
OriginalDataset/ClaimsCreation,3,police_report.filed,
OriginalDataset/ClaimsCreation,3,police_report_database.searched,Task_2
OriginalDataset/ClaimsCreation,3,claim_documentation.filed,
OriginalDataset/ClaimsCreation,3,file.assembled,
OriginalDataset/ClaimsCreation,3,file.input,
OriginalDataset/ClaimsCreation,3,initial_claim_estimate.calculated,
OriginalDataset/ClaimsCreation,3,initial_claim_estimate.negotiated,
OriginalDataset/ClaimsCreation,3,action_plan.created,
OriginalDataset/ClaimsCreation,3,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,3,settlement.negotiated,
OriginalDataset/ClaimsCreation,3,outcome.communicated,
OriginalDataset/ClaimsCreation,3,process.ended,
OriginalDataset/BicycleManufacturing,1,order.received,
OriginalDataset/BicycleManufacturing,1,order.rejected,
OriginalDataset/BicycleManufacturing,1,order.accepted,
OriginalDataset/BicycleManufacturing,1,process_instance.created,
OriginalDataset/BicycleManufacturing,1,process_instance.finished,
OriginalDataset/BicycleManufacturing,1,storehouse.informed,
OriginalDataset/BicycleManufacturing,1,engineering_department.informed,
OriginalDataset/BicycleManufacturing,1,part_list.processed,
OriginalDataset/BicycleManufacturing,1,part_list.complete,
OriginalDataset/BicycleManufacturing,1,required_quantity.checked,
OriginalDataset/BicycleManufacturing,1,part.available,
OriginalDataset/BicycleManufacturing,1,part.unavailable,
OriginalDataset/BicycleManufacturing,1,part.reserved,
OriginalDataset/BicycleManufacturing,1,part.back_ordered,Task_6
OriginalDataset/BicycleManufacturing,1,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,1,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,1,bicycle.ordered,
OriginalDataset/BicycleManufacturing,1,bicycle.assembled,
OriginalDataset/BicycleManufacturing,1,bicycle.shipped,
OriginalDataset/BicycleManufacturing,1,order.received,
OriginalDataset/BicycleManufacturing,1,order.rejected,
OriginalDataset/BicycleManufacturing,1,order.accepted,
OriginalDataset/BicycleManufacturing,1,process_instance.created,
OriginalDataset/BicycleManufacturing,1,process_instance.finished,
OriginalDataset/BicycleManufacturing,1,storehouse.informed,
OriginalDataset/BicycleManufacturing,1,engineering_department.informed,
OriginalDataset/BicycleManufacturing,1,part_list.processed,Task_8
OriginalDataset/BicycleManufacturing,1,part_list.complete,
OriginalDataset/BicycleManufacturing,1,required_quantity.checked,
OriginalDataset/BicycleManufacturing,1,part.available,
OriginalDataset/BicycleManufacturing,1,part.unavailable,
OriginalDataset/BicycleManufacturing,1,part.reserved,
OriginalDataset/BicycleManufacturing,1,part.back_ordered,
OriginalDataset/BicycleManufacturing,1,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,1,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,1,bicycle.ordered,
OriginalDataset/BicycleManufacturing,1,bicycle.assembled,
OriginalDataset/BicycleManufacturing,1,bicycle.shipped,
OriginalDataset/BicycleManufacturing,1,order.received,
OriginalDataset/BicycleManufacturing,1,order.rejected,
OriginalDataset/BicycleManufacturing,1,order.accepted,
OriginalDataset/BicycleManufacturing,1,process_instance.created,
OriginalDataset/BicycleManufacturing,1,process_instance.finished,
OriginalDataset/BicycleManufacturing,1,storehouse.informed,
OriginalDataset/BicycleManufacturing,1,engineering_department.informed,
OriginalDataset/BicycleManufacturing,1,part_list.processed,
OriginalDataset/BicycleManufacturing,1,part_list.complete,
OriginalDataset/BicycleManufacturing,1,required_quantity.checked,
OriginalDataset/BicycleManufacturing,1,part.available,
OriginalDataset/BicycleManufacturing,1,part.unavailable,
OriginalDataset/BicycleManufacturing,1,part.reserved,Task_7
OriginalDataset/BicycleManufacturing,1,part.back_ordered,
OriginalDataset/BicycleManufacturing,1,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,1,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,1,bicycle.ordered,
OriginalDataset/BicycleManufacturing,1,bicycle.assembled,
OriginalDataset/BicycleManufacturing,1,bicycle.shipped,
OriginalDataset/BicycleManufacturing,1,order.received,
OriginalDataset/BicycleManufacturing,1,order.rejected,
OriginalDataset/BicycleManufacturing,1,order.accepted,
OriginalDataset/BicycleManufacturing,1,process_instance.created,
OriginalDataset/BicycleManufacturing,1,process_instance.finished,Task_4
OriginalDataset/BicycleManufacturing,1,storehouse.informed,
OriginalDataset/BicycleManufacturing,1,engineering_department.informed,
OriginalDataset/BicycleManufacturing,1,part_list.processed,
OriginalDataset/BicycleManufacturing,1,part_list.complete,
OriginalDataset/BicycleManufacturing,1,required_quantity.checked,
OriginalDataset/BicycleManufacturing,1,part.available,
OriginalDataset/BicycleManufacturing,1,part.unavailable,
OriginalDataset/BicycleManufacturing,1,part.reserved,
OriginalDataset/BicycleManufacturing,1,part.back_ordered,
OriginalDataset/BicycleManufacturing,1,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,1,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,1,bicycle.ordered,
OriginalDataset/BicycleManufacturing,1,bicycle.assembled,
OriginalDataset/BicycleManufacturing,1,bicycle.shipped,Task_4
OriginalDataset/BicycleManufacturing,1,order.received,
OriginalDataset/BicycleManufacturing,1,order.rejected,
OriginalDataset/BicycleManufacturing,1,order.accepted,
OriginalDataset/BicycleManufacturing,1,process_instance.created,
OriginalDataset/BicycleManufacturing,1,process_instance.finished,
OriginalDataset/BicycleManufacturing,1,storehouse.informed,
OriginalDataset/BicycleManufacturing,1,engineering_department.informed,
OriginalDataset/BicycleManufacturing,1,part_list.processed,
OriginalDataset/BicycleManufacturing,1,part_list.complete,
OriginalDataset/BicycleManufacturing,1,required_quantity.checked,Task_5
OriginalDataset/BicycleManufacturing,1,part.available,Task_5
OriginalDataset/BicycleManufacturing,1,part.unavailable,Task_5
OriginalDataset/BicycleManufacturing,1,part.reserved,
OriginalDataset/BicycleManufacturing,1,part.back_ordered,
OriginalDataset/BicycleManufacturing,1,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,1,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,1,bicycle.ordered,
OriginalDataset/BicycleManufacturing,1,bicycle.assembled,
OriginalDataset/BicycleManufacturing,1,bicycle.shipped,
OriginalDataset/BicycleManufacturing,1,order.received,
OriginalDataset/BicycleManufacturing,1,order.rejected,
OriginalDataset/BicycleManufacturing,1,order.accepted,
OriginalDataset/BicycleManufacturing,1,process_instance.created,
OriginalDataset/BicycleManufacturing,1,process_instance.finished,
OriginalDataset/BicycleManufacturing,1,storehouse.informed,Task_3
OriginalDataset/BicycleManufacturing,1,engineering_department.informed,Task_3
OriginalDataset/BicycleManufacturing,1,part_list.processed,
OriginalDataset/BicycleManufacturing,1,part_list.complete,
OriginalDataset/BicycleManufacturing,1,required_quantity.checked,
OriginalDataset/BicycleManufacturing,1,part.available,
OriginalDataset/BicycleManufacturing,1,part.unavailable,
OriginalDataset/BicycleManufacturing,1,part.reserved,
OriginalDataset/BicycleManufacturing,1,part.back_ordered,
OriginalDataset/BicycleManufacturing,1,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,1,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,1,bicycle.ordered,
OriginalDataset/BicycleManufacturing,1,bicycle.assembled,
OriginalDataset/BicycleManufacturing,1,bicycle.shipped,
OriginalDataset/BicycleManufacturing,1,order.received,
OriginalDataset/BicycleManufacturing,1,order.rejected,
OriginalDataset/BicycleManufacturing,1,order.accepted,
OriginalDataset/BicycleManufacturing,1,process_instance.created,
OriginalDataset/BicycleManufacturing,1,process_instance.finished,
OriginalDataset/BicycleManufacturing,1,storehouse.informed,
OriginalDataset/BicycleManufacturing,1,engineering_department.informed,
OriginalDataset/BicycleManufacturing,1,part_list.processed,
OriginalDataset/BicycleManufacturing,1,part_list.complete,
OriginalDataset/BicycleManufacturing,1,required_quantity.checked,
OriginalDataset/BicycleManufacturing,1,part.available,
OriginalDataset/BicycleManufacturing,1,part.unavailable,
OriginalDataset/BicycleManufacturing,1,part.reserved,
OriginalDataset/BicycleManufacturing,1,part.back_ordered,
OriginalDataset/BicycleManufacturing,1,preparation_activity.in_progress,Task_0
OriginalDataset/BicycleManufacturing,1,preparation_activity.finished,Task_0
OriginalDataset/BicycleManufacturing,1,bicycle.ordered,
OriginalDataset/BicycleManufacturing,1,bicycle.assembled,
OriginalDataset/BicycleManufacturing,1,bicycle.shipped,
OriginalDataset/BicycleManufacturing,1,order.received,
OriginalDataset/BicycleManufacturing,1,order.rejected,
OriginalDataset/BicycleManufacturing,1,order.accepted,
OriginalDataset/BicycleManufacturing,1,process_instance.created,
OriginalDataset/BicycleManufacturing,1,process_instance.finished,
OriginalDataset/BicycleManufacturing,1,storehouse.informed,
OriginalDataset/BicycleManufacturing,1,engineering_department.informed,
OriginalDataset/BicycleManufacturing,1,part_list.processed,
OriginalDataset/BicycleManufacturing,1,part_list.complete,
OriginalDataset/BicycleManufacturing,1,required_quantity.checked,
OriginalDataset/BicycleManufacturing,1,part.available,
OriginalDataset/BicycleManufacturing,1,part.unavailable,
OriginalDataset/BicycleManufacturing,1,part.reserved,
OriginalDataset/BicycleManufacturing,1,part.back_ordered,
OriginalDataset/BicycleManufacturing,1,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,1,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,1,bicycle.ordered,
OriginalDataset/BicycleManufacturing,1,bicycle.assembled,Task_1
OriginalDataset/BicycleManufacturing,1,bicycle.shipped,
OriginalDataset/BicycleManufacturing,1,order.received,Task_2
OriginalDataset/BicycleManufacturing,1,order.rejected,
OriginalDataset/BicycleManufacturing,1,order.accepted,
OriginalDataset/BicycleManufacturing,1,process_instance.created,Task_2
OriginalDataset/BicycleManufacturing,1,process_instance.finished,
OriginalDataset/BicycleManufacturing,1,storehouse.informed,
OriginalDataset/BicycleManufacturing,1,engineering_department.informed,
OriginalDataset/BicycleManufacturing,1,part_list.processed,
OriginalDataset/BicycleManufacturing,1,part_list.complete,
OriginalDataset/BicycleManufacturing,1,required_quantity.checked,
OriginalDataset/BicycleManufacturing,1,part.available,
OriginalDataset/BicycleManufacturing,1,part.unavailable,
OriginalDataset/BicycleManufacturing,1,part.reserved,
OriginalDataset/BicycleManufacturing,1,part.back_ordered,
OriginalDataset/BicycleManufacturing,1,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,1,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,1,bicycle.ordered,Task_2
OriginalDataset/BicycleManufacturing,1,bicycle.assembled,
OriginalDataset/BicycleManufacturing,1,bicycle.shipped,
OriginalDataset/BicycleManufacturing,2,order.received,
OriginalDataset/BicycleManufacturing,2,order.rejected,
OriginalDataset/BicycleManufacturing,2,order.accepted,
OriginalDataset/BicycleManufacturing,2,process_instance.created,
OriginalDataset/BicycleManufacturing,2,process_instance.finished,
OriginalDataset/BicycleManufacturing,2,storehouse.informed,
OriginalDataset/BicycleManufacturing,2,engineering_department.informed,
OriginalDataset/BicycleManufacturing,2,part_list.processed,
OriginalDataset/BicycleManufacturing,2,part_list.complete,
OriginalDataset/BicycleManufacturing,2,required_quantity.checked,
OriginalDataset/BicycleManufacturing,2,part.available,
OriginalDataset/BicycleManufacturing,2,part.unavailable,
OriginalDataset/BicycleManufacturing,2,part.reserved,
OriginalDataset/BicycleManufacturing,2,part.back_ordered,Task_6
OriginalDataset/BicycleManufacturing,2,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,2,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,2,bicycle.ordered,
OriginalDataset/BicycleManufacturing,2,bicycle.assembled,
OriginalDataset/BicycleManufacturing,2,bicycle.shipped,
OriginalDataset/BicycleManufacturing,2,order.received,
OriginalDataset/BicycleManufacturing,2,order.rejected,
OriginalDataset/BicycleManufacturing,2,order.accepted,
OriginalDataset/BicycleManufacturing,2,process_instance.created,
OriginalDataset/BicycleManufacturing,2,process_instance.finished,
OriginalDataset/BicycleManufacturing,2,storehouse.informed,
OriginalDataset/BicycleManufacturing,2,engineering_department.informed,
OriginalDataset/BicycleManufacturing,2,part_list.processed,
OriginalDataset/BicycleManufacturing,2,part_list.complete,
OriginalDataset/BicycleManufacturing,2,required_quantity.checked,
OriginalDataset/BicycleManufacturing,2,part.available,
OriginalDataset/BicycleManufacturing,2,part.unavailable,
OriginalDataset/BicycleManufacturing,2,part.reserved,
OriginalDataset/BicycleManufacturing,2,part.back_ordered,
OriginalDataset/BicycleManufacturing,2,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,2,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,2,bicycle.ordered,
OriginalDataset/BicycleManufacturing,2,bicycle.assembled,
OriginalDataset/BicycleManufacturing,2,bicycle.shipped,
OriginalDataset/BicycleManufacturing,2,order.received,
OriginalDataset/BicycleManufacturing,2,order.rejected,
OriginalDataset/BicycleManufacturing,2,order.accepted,
OriginalDataset/BicycleManufacturing,2,process_instance.created,
OriginalDataset/BicycleManufacturing,2,process_instance.finished,
OriginalDataset/BicycleManufacturing,2,storehouse.informed,
OriginalDataset/BicycleManufacturing,2,engineering_department.informed,
OriginalDataset/BicycleManufacturing,2,part_list.processed,
OriginalDataset/BicycleManufacturing,2,part_list.complete,
OriginalDataset/BicycleManufacturing,2,required_quantity.checked,
OriginalDataset/BicycleManufacturing,2,part.available,
OriginalDataset/BicycleManufacturing,2,part.unavailable,
OriginalDataset/BicycleManufacturing,2,part.reserved,Task_7
OriginalDataset/BicycleManufacturing,2,part.back_ordered,
OriginalDataset/BicycleManufacturing,2,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,2,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,2,bicycle.ordered,
OriginalDataset/BicycleManufacturing,2,bicycle.assembled,
OriginalDataset/BicycleManufacturing,2,bicycle.shipped,
OriginalDataset/BicycleManufacturing,2,order.received,
OriginalDataset/BicycleManufacturing,2,order.rejected,
OriginalDataset/BicycleManufacturing,2,order.accepted,
OriginalDataset/BicycleManufacturing,2,process_instance.created,
OriginalDataset/BicycleManufacturing,2,process_instance.finished,Task_4
OriginalDataset/BicycleManufacturing,2,storehouse.informed,
OriginalDataset/BicycleManufacturing,2,engineering_department.informed,
OriginalDataset/BicycleManufacturing,2,part_list.processed,
OriginalDataset/BicycleManufacturing,2,part_list.complete,
OriginalDataset/BicycleManufacturing,2,required_quantity.checked,
OriginalDataset/BicycleManufacturing,2,part.available,
OriginalDataset/BicycleManufacturing,2,part.unavailable,
OriginalDataset/BicycleManufacturing,2,part.reserved,
OriginalDataset/BicycleManufacturing,2,part.back_ordered,
OriginalDataset/BicycleManufacturing,2,preparation_activity.in_progress,
OriginalDataset/BicycleManufacturing,2,preparation_activity.finished,
OriginalDataset/BicycleManufacturing,2,bicycle.ordered,
OriginalDataset/BicycleManufacturing,2,bicycle.assembled,
OriginalDataset/BicycleManufacturing,2,bicycle.shipped,Task_4
OriginalDataset/BicycleManufacturing,2,order.received,
