prompt_name,llm,use_case,raw_entity,raw_states,lexname,kept_lexical,rejection_reason,dedup_rule,final_entity,final_states
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,reporting_requirement,continued,ENTITY,True,,,reporting_requirement,continued
one_shot,nvidia/llama-3.3-nemotron-super-49b-v1.5,job_application,job_application,reported;received;rated,ENTITY,True,,,job_application,reported;received;rated
one_shot,nvidia/llama-3.3-nemotron-super-49b-v1.5,job_application,job_offer,sent;negotiated,ENTITY,True,,,job_offer,sent;negotiated
one_shot,nvidia/llama-3.3-nemotron-super-49b-v1.5,job_application,job_interview,negotiated,ENTITY,True,,,job_interview,negotiated
one_shot,nvidia/llama-3.3-nemotron-super-49b-v1.5,job_application,probation,entered;completed,INDETERMINATE,True,,,probation,entered;completed
one_shot,nvidia/llama-3.3-nemotron-super-49b-v1.5,job_application,company,rated;reviewed,ACTOR,False,,,,
one_shot,nvidia/llama-3.3-nemotron-super-49b-v1.5,job_application,job,becomes_permanent,ENTITY,True,,,job,becomes_permanent
one_shot,nvidia/llama-3.3-nemotron-super-49b-v1.5,job_application,review,visible_after_year,ENTITY,True,,,review,visible_after_year
one_shot,qwen/qwen3.6-27b,job_application,job_application,reported;received;rated,ENTITY,True,,,job_application,reported;received;rated
one_shot,qwen/qwen3.6-27b,job_application,job_offer,sent;negotiated,ENTITY,True,,,job_offer,sent;negotiated
one_shot,qwen/qwen3.6-27b,job_application,job_interview,negotiated,ENTITY,True,,,job_interview,negotiated
one_shot,qwen/qwen3.6-27b,job_application,probation_phase,entered,INDETERMINATE,True,,,probation_phase,entered
one_shot,qwen/qwen3.6-27b,job_application,review,rated;visible,ENTITY,True,,,review,rated;visible
one_shot,qwen/qwen3.6-27b,job_application,job,permanent,ENTITY,True,,,job,permanent
one_shot,cohere/north-mini-code:free,job_application,job_application,submitted;confirmed;rated,ENTITY,True,,,job_application,submitted;confirmed;rated
one_shot,cohere/north-mini-code:free,job_application,company,confirmed;rated,ACTOR,False,,,,
one_shot,cohere/north-mini-code:free,job_application,job_interview,negotiated,ENTITY,True,,,job_interview,negotiated
one_shot,cohere/north-mini-code:free,job_application,probation_phase,entered,INDETERMINATE,True,,,probation_phase,entered
one_shot,cohere/north-mini-code:free,job_application,review,visible,ENTITY,True,,,review,visible
one_shot,cohere/north-mini-code:free,job_application,job_offer,sent,ENTITY,True,,,job_offer,sent
one_shot,cohere/north-mini-code:free,job_application,permanent_job,ended,ENTITY,True,,,permanent_job,ended
one_shot,cohere/north-mini-code:free,job_application,report,required,ENTITY,True,,,report,required
