case,repeat,n_activities,n_milestones,n_pairs_proposed,n_pairs_confirmed,n_activities_relevant_unmatched,correctness,completeness,relevance,confirmed_milestones
OriginalDataset/Hospital,2,14,35,26,18,2,0.692,0.514,1.0,"['analysis.performed', 'appointment.arranged', 'diagnosis.made', 'examination.performed', 'examination.prepared', 'examination.requested', 'examination_order.placed', 'follow_up_treatment.conducted', 'follow_up_treatment_order.placed', 'information.provided', 'patient.diagnosed', 'patient.examined', 'patient.informed', 'patient.treated', 'result.validated', 'sample.sent', 'sample.taken', 'sample.validated']"
OriginalDataset/Hospital,3,14,35,31,18,2,0.581,0.514,1.0,"['analysis.performed', 'appointment.arranged', 'diagnosis.made', 'examination.performed', 'examination.prepared', 'examination.requested', 'examination_order.placed', 'follow_up_treatment.conducted', 'follow_up_treatment_order.placed', 'information.provided', 'patient.diagnosed', 'patient.examined', 'patient.informed', 'patient.treated', 'result.validated', 'sample.sent', 'sample.taken', 'sample.validated']"
OriginalDataset/HotelService,1,12,24,21,14,2,0.667,0.583,1.0,"['alcoholic_beverage.prepared', 'alcoholic_beverage.ready', 'cart.readied', 'cart.ready', 'food.prepared', 'food.ready', 'guest_account.debited', 'non_alcoholic_drink.prepared', 'non_alcoholic_drink.ready', 'order_ticket.submitted', 'room_service_order.assigned', 'room_service_order.delivered', 'room_service_order.taken_down', 'wine.fetched']"
OriginalDataset/HotelService,2,12,24,21,11,2,0.524,0.458,1.0,"['alcoholic_beverage.prepared', 'cart.readied', 'cart.ready', 'food.prepared', 'guest_account.debited', 'non_alcoholic_drink.prepared', 'order_ticket.submitted', 'room_service_order.assigned', 'room_service_order.delivered', 'room_service_order.taken_down', 'wine.fetched']"
OriginalDataset/HotelService,3,12,24,21,14,2,0.667,0.583,1.0,"['alcoholic_beverage.prepared', 'alcoholic_beverage.ready', 'cart.readied', 'cart.ready', 'food.prepared', 'food.ready', 'guest_account.debited', 'non_alcoholic_drink.prepared', 'non_alcoholic_drink.ready', 'order_ticket.submitted', 'room_service_order.assigned', 'room_service_order.delivered', 'room_service_order.taken_down', 'wine.fetched']"
OriginalDataset/Hotel,1,12,26,24,12,1,0.5,0.462,1.0,"['alcoholic_beverage.prepared', 'cart.readied', 'cart.ready', 'food.preparing', 'guest_account.debited', 'nonalcoholic_drink.prepared', 'order_ticket.submitted', 'room_service_order.assigned', 'room_service_order.delivered', 'room_service_order.taken_down', 'sommelier_order.given', 'wine.fetched']"
OriginalDataset/Hotel,2,12,26,24,12,1,0.5,0.462,1.0,"['alcoholic_beverage.prepared', 'cart.readied', 'cart.ready', 'food.preparing', 'guest_account.debited', 'nonalcoholic_drink.prepared', 'order_ticket.submitted', 'room_service_order.assigned', 'room_service_order.delivered', 'room_service_order.taken_down', 'sommelier_order.given', 'wine.fetched']"
OriginalDataset/Hotel,3,12,26,23,15,1,0.652,0.577,1.0,"['alcoholic_beverage.prepared', 'alcoholic_beverage.ready', 'cart.readied', 'cart.ready', 'food.preparing', 'food.ready', 'guest_account.debited', 'kitchen_task.in_progress', 'nonalcoholic_drink.prepared', 'order_ticket.submitted', 'room_service_order.assigned', 'room_service_order.delivered', 'room_service_order.taken_down', 'sommelier_order.given', 'wine.fetched']"
OriginalDataset/Model1-2,1,8,19,10,9,2,0.9,0.474,1.0,"['computer.brought_in', 'computer.defective', 'computer.taken_home', 'hardware.checked', 'hardware.repaired', 'process.continued', 'software.checked', 'software.configured', 'system_functionality.tested']"
OriginalDataset/Model1-2,2,8,19,11,10,2,0.909,0.526,1.0,"['computer.brought_in', 'computer.defective', 'computer.taken_home', 'hardware.checked', 'hardware.repaired', 'process.continued', 'repair_activity.executed', 'software.checked', 'software.configured', 'system_functionality.tested']"
OriginalDataset/Model1-2,3,8,19,11,9,2,0.818,0.474,1.0,"['computer.brought_in', 'computer.taken_home', 'hardware.checked', 'hardware.repaired', 'process.continued', 'repair_activity.executed', 'software.checked', 'software.configured', 'system_functionality.tested']"
OriginalDataset/Model1-4,1,7,19,14,5,3,0.357,0.263,1.0,"['issue.bought', 'issue_price.fixed', 'registration_statement.prepared', 'stock.bought', 'stock.offered']"
OriginalDataset/Model1-4,2,7,19,14,4,3,0.286,0.211,1.0,"['issue_price.fixed', 'registration_statement.prepared', 'stock.bought', 'stock.offered']"
OriginalDataset/Model1-4,3,7,19,12,6,2,0.5,0.316,1.0,"['issue.compliant', 'issue_price.being_firmed', 'issue_price.fixed', 'registration_statement.prepared', 'stock.bought', 'stock.offered']"
OriginalDataset/Model10-10,1,10,16,11,9,0,0.818,0.562,0.8,"['failure.confirmed', 'failure.examined', 'failure.rejected', 'failure.reported', 'fault.fixed', 'fault.suspected', 'repair.carried_out', 'resolution.reported', 'result.shared']"
OriginalDataset/Model10-10,2,10,16,9,9,0,1.0,0.562,0.8,"['failure.confirmed', 'failure.examined', 'failure.rejected', 'failure.reported', 'fault.fixed', 'fault.suspected', 'repair.carried_out', 'resolution.reported', 'result.shared']"
OriginalDataset/Model10-10,3,10,16,9,9,0,1.0,0.562,0.8,"['failure.confirmed', 'failure.examined', 'failure.rejected', 'failure.reported', 'fault.fixed', 'fault.suspected', 'repair.carried_out', 'resolution.reported', 'result.shared']"
OriginalDataset/Model10-1,1,4,7,7,2,1,0.286,0.286,0.75,"['dismissal.confirmed', 'dismissal.opposed']"
OriginalDataset/Model10-1,2,4,7,7,3,0,0.429,0.429,0.75,"['dismissal.confirmed', 'dismissal.opposed', 'dismissal.reviewed']"
OriginalDataset/Model10-1,3,4,7,7,3,0,0.429,0.429,0.75,"['dismissal.confirmed', 'dismissal.opposed', 'dismissal.reviewed']"
