model,case,regime,SATISFIED,VIOLATED,UNRESOLVABLE,verdict,avg_matches_per_activity
gpt-oss-20b,OriginalDataset/ClaimsCreation,dissimilarity,1,1,0,NOT_FAITHFUL,0.667
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,current_margin,0,0,0,FAITHFUL,0.857
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,dissimilarity,0,0,0,FAITHFUL,1.143
gpt-oss-20b,OriginalDataset/Hospital,current_margin,4,0,4,FAITHFUL_WITH_RESERVATIONS,1.286
gpt-oss-20b,OriginalDataset/Hospital,dissimilarity,4,0,4,FAITHFUL_WITH_RESERVATIONS,2.357
gpt-oss-20b,OriginalDataset/HotelService,current_margin,5,2,2,NOT_FAITHFUL,0.833
gpt-oss-20b,OriginalDataset/HotelService,dissimilarity,6,1,2,NOT_FAITHFUL,1.333
gpt-oss-20b,OriginalDataset/Hotel,current_margin,3,0,4,FAITHFUL_WITH_RESERVATIONS,0.667
gpt-oss-20b,OriginalDataset/Hotel,dissimilarity,7,0,0,FAITHFUL,1.25
gpt-oss-20b,OriginalDataset/Model1-2,current_margin,5,0,9,FAITHFUL_WITH_RESERVATIONS,0.875
gpt-oss-20b,OriginalDataset/Model1-2,dissimilarity,6,2,6,NOT_FAITHFUL,1.875
gpt-oss-20b,OriginalDataset/Model1-4,current_margin,0,2,11,FAITHFUL_WITH_RESERVATIONS,0.857
gpt-oss-20b,OriginalDataset/Model1-4,dissimilarity,0,2,11,FAITHFUL_WITH_RESERVATIONS,1.571
gpt-oss-20b,OriginalDataset/Model10-10,current_margin,0,0,2,FAITHFUL_WITH_RESERVATIONS,0.8
gpt-oss-20b,OriginalDataset/Model10-10,dissimilarity,0,0,2,FAITHFUL_WITH_RESERVATIONS,1.1
gpt-oss-20b,OriginalDataset/Model10-1,current_margin,0,3,0,NOT_FAITHFUL,1.75
gpt-oss-20b,OriginalDataset/Model10-1,dissimilarity,0,3,0,NOT_FAITHFUL,3.0
llama-3.1-8b,OriginalDataset/BicycleManufacturing,current_margin,1,1,16,FAITHFUL_WITH_RESERVATIONS,1.556
llama-3.1-8b,OriginalDataset/BicycleManufacturing,dissimilarity,9,0,9,FAITHFUL_WITH_RESERVATIONS,3.0
llama-3.1-8b,OriginalDataset/ClaimsCreation,current_margin,3,1,2,NOT_FAITHFUL,1.333
llama-3.1-8b,OriginalDataset/ClaimsCreation,dissimilarity,5,0,1,FAITHFUL_WITH_RESERVATIONS,2.167
llama-3.1-8b,OriginalDataset/Hospital,current_margin,7,2,13,NOT_FAITHFUL,1.357
llama-3.1-8b,OriginalDataset/Hospital,dissimilarity,12,0,10,FAITHFUL_WITH_RESERVATIONS,2.5
llama-3.1-8b,OriginalDataset/Hotel,current_margin,0,0,0,FAITHFUL,0.333
llama-3.1-8b,OriginalDataset/Hotel,dissimilarity,0,0,0,FAITHFUL,0.417
llama-3.1-8b,OriginalDataset/Model1-2,current_margin,0,0,0,FAITHFUL,1.375
llama-3.1-8b,OriginalDataset/Model1-2,dissimilarity,0,0,0,FAITHFUL,2.5
llama-3.1-8b,OriginalDataset/Model10-1,current_margin,0,0,0,FAITHFUL,1.0
llama-3.1-8b,OriginalDataset/Model10-1,dissimilarity,0,0,0,FAITHFUL,1.5
mistral-nemotron,OriginalDataset/BicycleManufacturing,current_margin,8,0,10,FAITHFUL_WITH_RESERVATIONS,1.778
mistral-nemotron,OriginalDataset/BicycleManufacturing,dissimilarity,6,0,12,FAITHFUL_WITH_RESERVATIONS,2.444
mistral-nemotron,OriginalDataset/ClaimsCreation,current_margin,1,1,10,FAITHFUL_WITH_RESERVATIONS,1.167
mistral-nemotron,OriginalDataset/ClaimsCreation,dissimilarity,9,3,0,NOT_FAITHFUL,2.5
mistral-nemotron,OriginalDataset/Dispatch-of-goods,current_margin,2,0,0,FAITHFUL,2.0
mistral-nemotron,OriginalDataset/Dispatch-of-goods,dissimilarity,2,0,0,FAITHFUL,2.0
mistral-nemotron,OriginalDataset/Hospital,current_margin,11,0,30,FAITHFUL_WITH_RESERVATIONS,1.357
mistral-nemotron,OriginalDataset/Hospital,dissimilarity,22,1,18,NOT_FAITHFUL,3.0
mistral-nemotron,OriginalDataset/HotelService,current_margin,10,1,2,NOT_FAITHFUL,1.333
mistral-nemotron,OriginalDataset/HotelService,dissimilarity,11,0,2,FAITHFUL_WITH_RESERVATIONS,1.75
mistral-nemotron,OriginalDataset/Hotel,current_margin,3,1,9,NOT_FAITHFUL,1.0
mistral-nemotron,OriginalDataset/Hotel,dissimilarity,4,0,9,FAITHFUL_WITH_RESERVATIONS,1.583
mistral-nemotron,OriginalDataset/Model1-2,current_margin,3,5,13,NOT_FAITHFUL,1.125
mistral-nemotron,OriginalDataset/Model1-2,dissimilarity,9,4,8,NOT_FAITHFUL,2.875
mistral-nemotron,OriginalDataset/Model1-4,current_margin,2,1,10,NOT_FAITHFUL,1.0
mistral-nemotron,OriginalDataset/Model1-4,dissimilarity,2,2,9,NOT_FAITHFUL,2.143
mistral-nemotron,OriginalDataset/Model10-10,current_margin,2,0,2,FAITHFUL_WITH_RESERVATIONS,0.9
mistral-nemotron,OriginalDataset/Model10-10,dissimilarity,4,0,0,FAITHFUL,2.5
mistral-nemotron,OriginalDataset/Model10-1,current_margin,2,0,7,FAITHFUL_WITH_RESERVATIONS,1.75
mistral-nemotron,OriginalDataset/Model10-1,dissimilarity,2,2,5,NOT_FAITHFUL,4.0
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,current_margin,5,0,1,FAITHFUL_WITH_RESERVATIONS,1.167
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,dissimilarity,5,1,0,NOT_FAITHFUL,2.333
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,current_margin,2,0,3,FAITHFUL_WITH_RESERVATIONS,1.0
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,dissimilarity,2,0,3,FAITHFUL_WITH_RESERVATIONS,1.0
nemotron-3-super-120b,OriginalDataset/Hospital,current_margin,11,0,14,FAITHFUL_WITH_RESERVATIONS,1.143
nemotron-3-super-120b,OriginalDataset/Hospital,dissimilarity,18,0,7,FAITHFUL_WITH_RESERVATIONS,2.714
nemotron-3-super-120b,OriginalDataset/HotelService,current_margin,3,1,3,FAITHFUL_WITH_RESERVATIONS,0.583
nemotron-3-super-120b,OriginalDataset/HotelService,dissimilarity,4,1,2,NOT_FAITHFUL,1.083
nemotron-3-super-120b,OriginalDataset/Hotel,current_margin,5,0,7,FAITHFUL_WITH_RESERVATIONS,0.75
nemotron-3-super-120b,OriginalDataset/Hotel,dissimilarity,6,1,5,NOT_FAITHFUL,1.167
nemotron-3-super-120b,OriginalDataset/Model1-4,current_margin,0,6,10,NOT_FAITHFUL,0.857
nemotron-3-super-120b,OriginalDataset/Model1-4,dissimilarity,0,8,8,NOT_FAITHFUL,1.857
nemotron-3-super-120b,OriginalDataset/Model10-10,current_margin,0,0,9,FAITHFUL_WITH_RESERVATIONS,1.0
nemotron-3-super-120b,OriginalDataset/Model10-10,dissimilarity,6,0,3,FAITHFUL_WITH_RESERVATIONS,3.3
nemotron-3-super-120b,OriginalDataset/Model10-1,current_margin,0,3,0,NOT_FAITHFUL,1.75
nemotron-3-super-120b,OriginalDataset/Model10-1,dissimilarity,0,3,0,NOT_FAITHFUL,3.0
