model,case,threshold,verdict,ecarts,non_verifiable,conforme
gpt-oss-20b,OriginalDataset/Hospital,0.35,NOT_FAITHFUL,1,5,0
gpt-oss-20b,OriginalDataset/Hospital,0.25,FAITHFUL_WITH_RESERVATIONS,0,3,4
gpt-oss-20b,OriginalDataset/HotelService,0.35,NOT_FAITHFUL,2,2,1
gpt-oss-20b,OriginalDataset/HotelService,0.25,NOT_FAITHFUL,2,0,5
gpt-oss-20b,OriginalDataset/Hotel,0.35,NOT_FAITHFUL,1,2,2
gpt-oss-20b,OriginalDataset/Hotel,0.25,FAITHFUL_WITH_RESERVATIONS,0,1,3
gpt-oss-20b,OriginalDataset/Model1-2,0.35,FAITHFUL_WITH_RESERVATIONS,0,3,5
gpt-oss-20b,OriginalDataset/Model1-2,0.25,FAITHFUL_WITH_RESERVATIONS,0,3,5
gpt-oss-20b,OriginalDataset/Model1-4,0.35,FAITHFUL_WITH_RESERVATIONS,0,4,0
gpt-oss-20b,OriginalDataset/Model1-4,0.25,FAITHFUL_WITH_RESERVATIONS,0,4,0
gpt-oss-20b,OriginalDataset/Model10-10,0.35,FAITHFUL_WITH_RESERVATIONS,0,1,0
gpt-oss-20b,OriginalDataset/Model10-10,0.25,FAITHFUL_WITH_RESERVATIONS,0,1,0
gpt-oss-20b,OriginalDataset/Model10-1,0.35,NOT_FAITHFUL,1,0,0
gpt-oss-20b,OriginalDataset/Model10-1,0.25,NOT_FAITHFUL,1,0,0
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.35,FAITHFUL_WITH_RESERVATIONS,0,3,0
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.25,FAITHFUL_WITH_RESERVATIONS,0,4,1
llama-3.1-8b,OriginalDataset/ClaimsCreation,0.35,NOT_FAITHFUL,1,2,3
llama-3.1-8b,OriginalDataset/ClaimsCreation,0.25,NOT_FAITHFUL,1,2,3
llama-3.1-8b,OriginalDataset/Hospital,0.35,NOT_FAITHFUL,2,6,7
llama-3.1-8b,OriginalDataset/Hospital,0.25,NOT_FAITHFUL,2,6,7
llama-3.1-8b,OriginalDataset/Hotel,0.35,FAITHFUL,0,0,0
llama-3.1-8b,OriginalDataset/Hotel,0.25,FAITHFUL,0,0,0
llama-3.1-8b,OriginalDataset/Model1-2,0.35,FAITHFUL,0,0,0
llama-3.1-8b,OriginalDataset/Model1-2,0.25,FAITHFUL,0,0,0
llama-3.1-8b,OriginalDataset/Model10-1,0.35,FAITHFUL,0,0,0
llama-3.1-8b,OriginalDataset/Model10-1,0.25,FAITHFUL,0,0,0
mistral-nemotron,OriginalDataset/BicycleManufacturing,0.35,FAITHFUL_WITH_RESERVATIONS,0,7,3
mistral-nemotron,OriginalDataset/BicycleManufacturing,0.25,FAITHFUL_WITH_RESERVATIONS,0,6,8
mistral-nemotron,OriginalDataset/ClaimsCreation,0.35,FAITHFUL_WITH_RESERVATIONS,0,5,1
mistral-nemotron,OriginalDataset/ClaimsCreation,0.25,FAITHFUL_WITH_RESERVATIONS,0,5,1
mistral-nemotron,OriginalDataset/Dispatch-of-goods,0.35,FAITHFUL_WITH_RESERVATIONS,0,2,0
mistral-nemotron,OriginalDataset/Dispatch-of-goods,0.25,FAITHFUL,0,0,2
mistral-nemotron,OriginalDataset/Hospital,0.35,FAITHFUL_WITH_RESERVATIONS,0,5,10
mistral-nemotron,OriginalDataset/Hospital,0.25,FAITHFUL_WITH_RESERVATIONS,0,5,11
mistral-nemotron,OriginalDataset/HotelService,0.35,NOT_FAITHFUL,3,2,2
mistral-nemotron,OriginalDataset/HotelService,0.25,NOT_FAITHFUL,1,1,10
mistral-nemotron,OriginalDataset/Hotel,0.35,NOT_FAITHFUL,1,2,3
mistral-nemotron,OriginalDataset/Hotel,0.25,NOT_FAITHFUL,1,3,3
mistral-nemotron,OriginalDataset/Model1-2,0.35,NOT_FAITHFUL,1,3,3
mistral-nemotron,OriginalDataset/Model1-2,0.25,NOT_FAITHFUL,1,3,3
mistral-nemotron,OriginalDataset/Model1-4,0.35,NOT_FAITHFUL,1,4,2
mistral-nemotron,OriginalDataset/Model1-4,0.25,NOT_FAITHFUL,1,4,2
mistral-nemotron,OriginalDataset/Model10-10,0.35,FAITHFUL_WITH_RESERVATIONS,0,3,0
mistral-nemotron,OriginalDataset/Model10-10,0.25,FAITHFUL_WITH_RESERVATIONS,0,2,2
mistral-nemotron,OriginalDataset/Model10-1,0.35,FAITHFUL_WITH_RESERVATIONS,0,3,0
mistral-nemotron,OriginalDataset/Model10-1,0.25,FAITHFUL_WITH_RESERVATIONS,0,5,2
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,0.35,FAITHFUL_WITH_RESERVATIONS,0,1,5
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,0.25,FAITHFUL_WITH_RESERVATIONS,0,1,5
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,0.35,FAITHFUL_WITH_RESERVATIONS,0,3,0
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,0.25,FAITHFUL_WITH_RESERVATIONS,0,2,2
nemotron-3-super-120b,OriginalDataset/Hospital,0.35,FAITHFUL_WITH_RESERVATIONS,0,9,8
nemotron-3-super-120b,OriginalDataset/Hospital,0.25,FAITHFUL_WITH_RESERVATIONS,0,7,11
nemotron-3-super-120b,OriginalDataset/HotelService,0.35,FAITHFUL_WITH_RESERVATIONS,0,2,2
nemotron-3-super-120b,OriginalDataset/HotelService,0.25,FAITHFUL_WITH_RESERVATIONS,0,3,3
nemotron-3-super-120b,OriginalDataset/Hotel,0.35,NOT_FAITHFUL,1,3,4
nemotron-3-super-120b,OriginalDataset/Hotel,0.25,FAITHFUL_WITH_RESERVATIONS,0,3,5
nemotron-3-super-120b,OriginalDataset/Model1-4,0.35,NOT_FAITHFUL,1,4,0
nemotron-3-super-120b,OriginalDataset/Model1-4,0.25,NOT_FAITHFUL,1,4,0
nemotron-3-super-120b,OriginalDataset/Model10-10,0.35,FAITHFUL_WITH_RESERVATIONS,0,2,0
nemotron-3-super-120b,OriginalDataset/Model10-10,0.25,FAITHFUL_WITH_RESERVATIONS,0,2,0
nemotron-3-super-120b,OriginalDataset/Model10-1,0.35,NOT_FAITHFUL,1,0,0
nemotron-3-super-120b,OriginalDataset/Model10-1,0.25,NOT_FAITHFUL,1,0,0
