model,case,target,term,negated,cause
gpt-5.5,OriginalDataset/ClaimsCreation,outcome.communicated,settlement.negotiated,False,missing
gpt-5.5,OriginalDataset/ClaimsCreation,process.ended,outcome.communicated,False,missing
gpt-5.5,OriginalDataset/Dispatch-of-goods,shipping.clarified,good.shipped,False,low_confidence
gpt-5.5,OriginalDataset/Dispatch-of-goods,special_shipping.necessary,amount.large,False,missing
gpt-5.5,OriginalDataset/Dispatch-of-goods,offer.made,special_shipping.necessary,False,low_confidence
gpt-5.5,OriginalDataset/Dispatch-of-goods,normal_post_shipment.used,amount.small,False,missing
gpt-5.5,OriginalDataset/Dispatch-of-goods,packaged_good.prepared,good.ready,False,missing
gpt-5.5,OriginalDataset/Hospital,patient.additional_examination_needed,patient.examined,False,missing
gpt-5.5,OriginalDataset/Hospital,patient.informed,request_form.filled,False,missing
gpt-5.5,OriginalDataset/Hospital,patient.consented,patient.informed,False,missing
gpt-5.5,OriginalDataset/Hospital,patient.diagnosed,diagnosis.made,False,missing
gpt-5.5,OriginalDataset/Hospital,patient.treated,therapy.prescribed,False,missing
gpt-5.5,OriginalDataset/Hospital,examination_form.filled,patient.healthy,False,missing
gpt-5.5,OriginalDataset/Hospital,examination_order.placed,patient.additional_examination_needed,False,missing
gpt-5.5,OriginalDataset/Hospital,follow_up_treatment_order.placed,patient.additional_examination_needed,False,missing
gpt-5.5,OriginalDataset/Hospital,request_form.filled,patient.additional_examination_needed,False,missing
gpt-5.5,OriginalDataset/Hospital,examination.requested,request_form.filled,False,missing
gpt-5.5,OriginalDataset/Hospital,examination.prepared,information.provided,False,missing
gpt-5.5,OriginalDataset/Hospital,examination.performed,examination.prepared,False,missing
gpt-5.5,OriginalDataset/Hospital,lab.suitable,request_form.filled,False,missing
gpt-5.5,OriginalDataset/Hospital,lab.indicated,request_form.filled,False,missing
gpt-5.5,OriginalDataset/Hospital,informed_consent.signed,patient.informed,False,missing
gpt-5.5,OriginalDataset/Hospital,procedure.continued,patient.consented,False,missing
gpt-5.5,OriginalDataset/Hospital,appointment.arranged,informed_consent.signed,False,missing
gpt-5.5,OriginalDataset/Hospital,appointment.arranged,procedure.continued,False,missing
gpt-5.5,OriginalDataset/Hospital,ward.responsible,appointment.arranged,False,missing
gpt-5.5,OriginalDataset/Hospital,sample.requested,examination.requested,False,missing
gpt-5.5,OriginalDataset/Hospital,sample.taken,ward.responsible,False,missing
gpt-5.5,OriginalDataset/Hospital,sample.taken,sample.requested,False,low_confidence
gpt-5.5,OriginalDataset/Hospital,sample.sent,lab.indicated,False,missing
gpt-5.5,OriginalDataset/Hospital,sample.validated,sample.received,False,low_confidence
gpt-5.5,OriginalDataset/Hospital,sample.usable,sample.validated,False,missing
gpt-5.5,OriginalDataset/Hospital,sample.contaminated,sample.validated,False,missing
gpt-5.5,OriginalDataset/Hospital,sample.required,sample.contaminated,False,missing
gpt-5.5,OriginalDataset/Hospital,sampling.prepared,appointment.arranged,False,missing
gpt-5.5,OriginalDataset/Hospital,sampling.prepared,information.provided,False,missing
gpt-5.5,OriginalDataset/Hospital,analysis.performed,sample.usable,False,missing
gpt-5.5,OriginalDataset/HotelService,room_service_order.delivered,food.ready,False,missing
gpt-5.5,OriginalDataset/HotelService,room_service_order.delivered,wine.ready,False,missing
gpt-5.5,OriginalDataset/HotelService,food.prepared,kitchen_task.in_progress,False,missing
gpt-5.5,OriginalDataset/HotelService,food.ready,food.prepared,False,missing
gpt-5.5,OriginalDataset/HotelService,food.delivered,food.ready,False,missing
gpt-5.5,OriginalDataset/HotelService,food.delivered,wine.ready,False,missing
gpt-5.5,OriginalDataset/HotelService,food.delivered,cart.ready,False,missing
gpt-5.5,OriginalDataset/HotelService,wine.ready,wine.fetched,False,missing
gpt-5.5,OriginalDataset/HotelService,wine.delivered,food.ready,False,missing
gpt-5.5,OriginalDataset/HotelService,wine.delivered,wine.ready,False,missing
gpt-5.5,OriginalDataset/HotelService,wine.delivered,cart.ready,False,missing
gpt-5.5,OriginalDataset/HotelService,alcoholic_beverage.ready,alcoholic_beverage.prepared,False,missing
gpt-5.5,OriginalDataset/HotelService,non_alcoholic_drink.ready,non_alcoholic_drink.prepared,False,missing
gpt-5.5,OriginalDataset/HotelService,cart.readied,room_service_order.assigned,False,missing
gpt-5.5,OriginalDataset/HotelService,cart.ready,cart.readied,False,missing
gpt-5.5,OriginalDataset/HotelService,kitchen_task.in_progress,order_ticket.submitted,False,missing
gpt-5.5,OriginalDataset/Hotel,room_service_order.delivered,food.ready,False,missing
gpt-5.5,OriginalDataset/Hotel,room_service_order.delivered,wine.ready,False,missing
gpt-5.5,OriginalDataset/Hotel,food.delivered,food.ready,False,missing
gpt-5.5,OriginalDataset/Hotel,food.delivered,wine.ready,False,missing
gpt-5.5,OriginalDataset/Hotel,food.delivered,cart.ready,False,missing
gpt-5.5,OriginalDataset/Hotel,wine.ready,wine.fetched,False,missing
gpt-5.5,OriginalDataset/Hotel,wine.delivered,food.ready,False,missing
gpt-5.5,OriginalDataset/Hotel,wine.delivered,wine.ready,False,missing
gpt-5.5,OriginalDataset/Hotel,wine.delivered,cart.ready,False,missing
gpt-5.5,OriginalDataset/Hotel,alcoholic_beverage.ready,alcoholic_beverage.prepared,False,missing
gpt-5.5,OriginalDataset/Hotel,alcoholic_beverage.delivered,food.ready,False,missing
gpt-5.5,OriginalDataset/Hotel,alcoholic_beverage.delivered,wine.ready,False,missing
gpt-5.5,OriginalDataset/Hotel,alcoholic_beverage.delivered,cart.ready,False,missing
gpt-5.5,OriginalDataset/Hotel,cart.readied,room_service_order.assigned,False,missing
gpt-5.5,OriginalDataset/Hotel,cart.readied,kitchen_task.in_progress,False,missing
gpt-5.5,OriginalDataset/Hotel,cart.readied,sommelier_task.in_progress,False,missing
gpt-5.5,OriginalDataset/Hotel,cart.ready,cart.readied,False,missing
gpt-5.5,OriginalDataset/Hotel,tablecloth.placed,room_service_order.assigned,False,missing
gpt-5.5,OriginalDataset/Hotel,tablecloth.placed,kitchen_task.in_progress,False,missing
gpt-5.5,OriginalDataset/Hotel,tablecloth.placed,sommelier_task.in_progress,False,missing
gpt-5.5,OriginalDataset/Hotel,silverware.gathered,room_service_order.assigned,False,missing
gpt-5.5,OriginalDataset/Hotel,silverware.gathered,kitchen_task.in_progress,False,missing
gpt-5.5,OriginalDataset/Hotel,silverware.gathered,sommelier_task.in_progress,False,missing
gpt-5.5,OriginalDataset/Hotel,nonalcoholic_drink.delivered,food.ready,False,missing
gpt-5.5,OriginalDataset/Hotel,nonalcoholic_drink.delivered,wine.ready,False,missing
gpt-5.5,OriginalDataset/Hotel,nonalcoholic_drink.delivered,cart.ready,False,missing
gpt-5.5,OriginalDataset/Hotel,kitchen_task.in_progress,order_ticket.submitted,False,missing
gpt-5.5,OriginalDataset/Hotel,sommelier_task.in_progress,sommelier_order.given,False,missing
gpt-5.5,OriginalDataset/Model1-2,computer.unrepaired,cost.unacceptable,False,missing
gpt-5.5,OriginalDataset/Model1-2,computer.brought_in,computer.defective,False,missing
gpt-5.5,OriginalDataset/Model1-2,computer.taken_home,cost.unacceptable,False,missing
gpt-5.5,OriginalDataset/Model1-2,defect.checked,computer.brought_in,False,missing
gpt-5.5,OriginalDataset/Model1-2,repair_cost_calculation.handed_out,defect.checked,False,missing
gpt-5.5,OriginalDataset/Model1-2,cost.acceptable,repair_cost_calculation.handed_out,False,missing
gpt-5.5,OriginalDataset/Model1-2,cost.unacceptable,repair_cost_calculation.handed_out,False,missing
gpt-5.5,OriginalDataset/Model1-2,process.continued,cost.acceptable,False,missing
gpt-5.5,OriginalDataset/Model1-2,repair.ongoing,process.continued,False,missing
gpt-5.5,OriginalDataset/Model1-2,repair.finished,system_functionality.tested,False,missing
gpt-5.5,OriginalDataset/Model1-2,repair.finished,NOT error.detected,True,missing
gpt-5.5,OriginalDataset/Model1-2,hardware.checked,repair.ongoing,False,missing
gpt-5.5,OriginalDataset/Model1-2,software.checked,repair.ongoing,False,missing
gpt-5.5,OriginalDataset/Model1-2,error.detected,system_functionality.tested,False,missing
gpt-5.5,OriginalDataset/Model1-2,repair_activity.executed,error.detected,False,missing
gpt-5.5,OriginalDataset/Model1-4,issue.resold,issue.bought,False,missing
gpt-5.5,OriginalDataset/Model1-4,issue.handled,fact.fairly_presented,False,missing
gpt-5.5,OriginalDataset/Model1-4,issue.approved,issue.handled,False,missing
gpt-5.5,OriginalDataset/Model1-4,registration_statement.awaiting_approval,registration_statement.prepared,False,missing
gpt-5.5,OriginalDataset/Model1-4,registration_statement.cleared,registration_statement.awaiting_approval,False,missing
gpt-5.5,OriginalDataset/Model1-4,issue_price.being_firmed,registration_statement.awaiting_approval,False,missing
gpt-5.5,OriginalDataset/Model1-4,issue_price.fixed,registration_statement.cleared,False,missing
gpt-5.5,OriginalDataset/Model1-4,stock.bought,firm_commitment.entered,False,missing
gpt-5.5,OriginalDataset/Model1-4,firm_commitment.entered,issue_price.fixed,False,missing
gpt-5.5,OriginalDataset/Model10-10,fault_detector.informed,repair.carried_out,False,missing
gpt-5.5,OriginalDataset/Model10-10,measuring_device.fixed,fault.fixed,False,missing
gpt-5.5,OriginalDataset/Model10-10,repair.carried_out,fault.fixed,False,missing
gpt-5.5,OriginalDataset/Model10-10,result.shared,repair.carried_out,False,missing
gpt-5.5,OriginalDataset/Model10-10,resolution.reported,interference.resolved,False,missing
gpt-5.5,OriginalDataset/Model10-1,mpon.dismissed,mpoo.confirmed,False,missing
gpt-5.5,OriginalDataset/Model10-1,mpoo.opposed,dismissal.reviewed,False,missing
gpt-5.5,OriginalDataset/Model10-1,mpoo.confirmed,dismissal.reviewed,False,missing
gpt-oss-20b,OriginalDataset/BicycleManufacturing,process_instance.created,sale_department.receives_order,False,missing
gpt-oss-20b,OriginalDataset/BicycleManufacturing,process_instance.finished,bicycle.shipped,False,missing
gpt-oss-20b,OriginalDataset/BicycleManufacturing,order.accepted,sale_department.accepts,False,missing
gpt-oss-20b,OriginalDataset/BicycleManufacturing,order.rejected,sale_department.rejects,False,missing
gpt-oss-20b,OriginalDataset/BicycleManufacturing,storehouse.informed,order.accepted,False,missing
gpt-oss-20b,OriginalDataset/BicycleManufacturing,storehouse.processed,storehouse.informed,False,missing
gpt-oss-20b,OriginalDataset/BicycleManufacturing,storehouse.reserved,storehouse.processed,False,missing
gpt-oss-20b,OriginalDataset/BicycleManufacturing,storehouse.reserved,part.reserved,False,missing
gpt-oss-20b,OriginalDataset/BicycleManufacturing,storehouse.back_ordered,storehouse.processed,False,missing
gpt-oss-20b,OriginalDataset/BicycleManufacturing,storehouse.back_ordered,part.back_ordered,False,missing
gpt-oss-20b,OriginalDataset/BicycleManufacturing,engineering_department.informed,order.accepted,False,missing
gpt-oss-20b,OriginalDataset/BicycleManufacturing,engineering_department.prepared,storehouse.processed,False,missing
gpt-oss-20b,OriginalDataset/BicycleManufacturing,part_list.processed,storehouse.processed,False,missing
gpt-oss-20b,OriginalDataset/BicycleManufacturing,bicycle.assembled,engineering_department.assembled,False,missing
gpt-oss-20b,OriginalDataset/BicycleManufacturing,bicycle.shipped,sale_department.accepts,False,missing
gpt-oss-20b,OriginalDataset/BicycleManufacturing,sale_department.accepts,sale_department.receives_order,False,missing
gpt-oss-20b,OriginalDataset/BicycleManufacturing,sale_department.rejects,sale_department.receives_order,False,missing
gpt-oss-20b,OriginalDataset/ClaimsCreation,action_plan.created,action_plan_checklist.available,False,missing
gpt-oss-20b,OriginalDataset/Hospital,request_form.filled_out,female_patient.needs_additional_examination,False,missing
gpt-oss-20b,OriginalDataset/Hospital,lab.validated_sample_state,lab.decided_on_sample_use,False,missing
gpt-oss-20b,OriginalDataset/Hospital,lab.validated_sample_state,NOT sample.contaminated,True,missing
gpt-oss-20b,OriginalDataset/Hospital,sample.validated,lab.decided_on_sample_use,False,missing
gpt-oss-20b,OriginalDataset/HotelService,wine.ready,order_ticket.submitted,False,low_confidence
gpt-oss-20b,OriginalDataset/HotelService,alcoholic_beverage.ready,order_ticket.submitted,False,low_confidence
gpt-oss-20b,OriginalDataset/Hotel,room_service_order.prepared,kitchen.ready,False,missing
gpt-oss-20b,OriginalDataset/Hotel,room_service_order.delivered,kitchen.ready,False,missing
gpt-oss-20b,OriginalDataset/Hotel,kitchen.ready,kitchen.preparing,False,missing
gpt-oss-20b,OriginalDataset/Hotel,guest_room.received,room_service_order.delivered,False,low_confidence
gpt-oss-20b,OriginalDataset/Model1-2,defective_computer.unrepaired,defective_computer.presented,False,missing
gpt-oss-20b,OriginalDataset/Model1-2,defective_computer.unrepaired,NOT repair_cost_calculation.issued,True,missing
gpt-oss-20b,OriginalDataset/Model1-2,repair_process.ongoing,repair_cost_calculation.issued,False,missing
gpt-oss-20b,OriginalDataset/Model1-2,repair_process.finished,repair_process.ongoing,False,missing
gpt-oss-20b,OriginalDataset/Model1-2,repair_process.finished,system_functionality_test.passed,False,missing
gpt-oss-20b,OriginalDataset/Model1-2,hardware_repair.completed,repair_process.ongoing,False,missing
gpt-oss-20b,OriginalDataset/Model1-2,software_configure.completed,repair_process.ongoing,False,missing
gpt-oss-20b,OriginalDataset/Model1-2,error_detected.detected,system_functionality_test.failed,False,missing
gpt-oss-20b,OriginalDataset/Model1-2,repair_finished.finished,repair_process.finished,False,missing
gpt-oss-20b,OriginalDataset/Model1-4,registration_statement.awaiting_approval,registration_statement.prepared,False,missing
gpt-oss-20b,OriginalDataset/Model1-4,registration_statement.approved,registration_statement.awaiting_approval,False,missing
gpt-oss-20b,OriginalDataset/Model1-4,issue_price.firmed,registration_statement.awaiting_approval,False,missing
gpt-oss-20b,OriginalDataset/Model1-4,issue_price.fixed,clearance.received,False,missing
gpt-oss-20b,OriginalDataset/Model1-4,road_show.arranged,registration_statement.awaiting_approval,False,missing
gpt-oss-20b,OriginalDataset/Model1-4,road_show.conducted,road_show.arranged,False,missing
gpt-oss-20b,OriginalDataset/Model1-4,clearance.received,registration_statement.approved,False,missing
gpt-oss-20b,OriginalDataset/Model1-4,firm_commitment.entered,issue_price.fixed,False,missing
gpt-oss-20b,OriginalDataset/Model1-4,stock.offered,firm_commitment.entered,False,missing
gpt-oss-20b,OriginalDataset/Model1-4,issue.approved,registration_statement.approved,False,missing
gpt-oss-20b,OriginalDataset/Model1-4,issue.sold,stock.offered,False,missing
gpt-oss-20b,OriginalDataset/Model10-10,measuring_device.fixed,fault_detector.failure_reported,False,missing
gpt-oss-20b,OriginalDataset/Model10-10,repair.completed,measuring_device.fixed,False,missing
llama-3.1-8b,OriginalDataset/BicycleManufacturing,order.rejected,order.received,False,missing
llama-3.1-8b,OriginalDataset/BicycleManufacturing,order.rejected,NOT order.accepted,True,missing
llama-3.1-8b,OriginalDataset/BicycleManufacturing,order.accepted,order.received,False,missing
llama-3.1-8b,OriginalDataset/BicycleManufacturing,storehouse.informed,order.accepted,False,missing
llama-3.1-8b,OriginalDataset/BicycleManufacturing,engineering_department.informed,order.accepted,False,missing
llama-3.1-8b,OriginalDataset/BicycleManufacturing,part_list.processed,order.accepted,False,missing
llama-3.1-8b,OriginalDataset/BicycleManufacturing,part_list.complete,part_list.processed,False,missing
llama-3.1-8b,OriginalDataset/BicycleManufacturing,part.available,part_list.complete,False,missing
llama-3.1-8b,OriginalDataset/BicycleManufacturing,part.reserved,part_list.complete,False,missing
llama-3.1-8b,OriginalDataset/BicycleManufacturing,part.back_ordered,part_list.complete,False,missing
llama-3.1-8b,OriginalDataset/BicycleManufacturing,part.back_ordered,NOT part.available,True,no_anchored_co_term
llama-3.1-8b,OriginalDataset/BicycleManufacturing,order_shipment.finished,bicycle.assembled,False,missing
llama-3.1-8b,OriginalDataset/BicycleManufacturing,order_preparation.finished,order.accepted,False,missing
llama-3.1-8b,OriginalDataset/BicycleManufacturing,order_preparation.finished,part_list.processed,False,low_confidence
llama-3.1-8b,OriginalDataset/BicycleManufacturing,order_preparation.finished,part.reserved,False,low_confidence
llama-3.1-8b,OriginalDataset/BicycleManufacturing,sale_department.informed,order.accepted,False,missing
llama-3.1-8b,OriginalDataset/ClaimsCreation,file.created,car_accident.searched,False,missing
llama-3.1-8b,OriginalDataset/ClaimsCreation,outcome.finalized,claim_estimate.negotiated,False,missing
llama-3.1-8b,OriginalDataset/Hospital,examination_form.filled_out,patient.healthy,False,missing
llama-3.1-8b,OriginalDataset/Hospital,request_form.filled_out,patient.needs_additional_examination,False,missing
llama-3.1-8b,OriginalDataset/Hospital,lab.suitable,request_form.filled_out,False,missing
llama-3.1-8b,OriginalDataset/Hospital,appointment.arranged,informed_consent.signed,False,missing
llama-3.1-8b,OriginalDataset/Hospital,sample.prepared,appointment.arranged,False,missing
llama-3.1-8b,OriginalDataset/Hospital,sample.prepared,outpatient_section.prepared,False,missing
llama-3.1-8b,OriginalDataset/Hospital,sample.taken,sample.prepared,False,missing
llama-3.1-8b,OriginalDataset/Hospital,sample.taken,ward.responsible,False,missing
llama-3.1-8b,OriginalDataset/Hospital,sample.sent,ward.responsible,False,missing
llama-3.1-8b,OriginalDataset/Hospital,sample.validated,NOT sample.contaminated,True,missing
llama-3.1-8b,OriginalDataset/Hospital,sample.contaminated,sample.sent,False,missing
llama-3.1-8b,OriginalDataset/Hospital,examination_process.in_progress,request_form.filled_out,False,missing
llama-3.1-8b,OriginalDataset/Hospital,examination_process.in_progress,lab.suitable,False,missing
mistral-nemotron,OriginalDataset/BicycleManufacturing,order.rejected,order.received,False,missing
mistral-nemotron,OriginalDataset/BicycleManufacturing,order.accepted,order.received,False,missing
mistral-nemotron,OriginalDataset/BicycleManufacturing,process_instance.created,order.received,False,missing
mistral-nemotron,OriginalDataset/BicycleManufacturing,process_instance.finished,order.rejected,False,missing
mistral-nemotron,OriginalDataset/BicycleManufacturing,process_instance.finished,part_list.fully_reserved,False,missing
mistral-nemotron,OriginalDataset/BicycleManufacturing,process_instance.finished,preparation_activity.finished,False,missing
mistral-nemotron,OriginalDataset/BicycleManufacturing,part_list.processed,order.accepted,False,missing
mistral-nemotron,OriginalDataset/BicycleManufacturing,part.back_ordered,NOT part.available,True,structural_marker
mistral-nemotron,OriginalDataset/BicycleManufacturing,preparation_activity.in_progress,order.accepted,False,missing
mistral-nemotron,OriginalDataset/BicycleManufacturing,part_list_processing.in_progress,order.accepted,False,missing
mistral-nemotron,OriginalDataset/ClaimsCreation,police_report.in_file,police_report.searched,False,missing
mistral-nemotron,OriginalDataset/ClaimsCreation,police_report.in_file,claim_documentation.in_file,False,missing
mistral-nemotron,OriginalDataset/ClaimsCreation,file.created,police_report.in_file,False,missing
mistral-nemotron,OriginalDataset/ClaimsCreation,file.input_to_claims_handler,file.created,False,missing
mistral-nemotron,OriginalDataset/ClaimsCreation,initial_claim_estimate.calculated,file.input_to_claims_handler,False,missing
mistral-nemotron,OriginalDataset/ClaimsCreation,action_plan.created,action_plan_checklist.available,False,missing
mistral-nemotron,OriginalDataset/ClaimsCreation,action_plan.based_on_checklist,action_plan.created,False,missing
mistral-nemotron,OriginalDataset/ClaimsCreation,action_plan.based_on_checklist,action_plan_checklist.available,False,missing
mistral-nemotron,OriginalDataset/ClaimsCreation,settlement.negotiated,action_plan.based_on_checklist,False,missing
mistral-nemotron,OriginalDataset/ClaimsCreation,outcome.communicated,settlement.negotiated,False,missing
mistral-nemotron,OriginalDataset/Hospital,patient.informed,patient.needs_additional_examination,False,missing
mistral-nemotron,OriginalDataset/Hospital,patient.informed,request_form.filled_out,False,missing
mistral-nemotron,OriginalDataset/Hospital,patient.consented,patient.informed,False,missing
mistral-nemotron,OriginalDataset/Hospital,patient.consented,informed_consent.signed,False,missing
mistral-nemotron,OriginalDataset/Hospital,patient.appointed,patient.consented,False,missing
mistral-nemotron,OriginalDataset/Hospital,patient.appointed,appointment.arranged,False,missing
mistral-nemotron,OriginalDataset/Hospital,patient.sampled,patient.appointed,False,missing
mistral-nemotron,OriginalDataset/Hospital,patient.sampled,examination_and_sampling.prepared,False,missing
mistral-nemotron,OriginalDataset/Hospital,patient.sampled,sample.taken,False,missing
mistral-nemotron,OriginalDataset/Hospital,patient.under_follow_up_treatment,patient.sampled,False,missing
mistral-nemotron,OriginalDataset/Hospital,patient.under_follow_up_treatment,NOT sample.contaminated,True,missing
mistral-nemotron,OriginalDataset/Hospital,patient.diagnosed,patient.under_follow_up_treatment,False,missing
mistral-nemotron,OriginalDataset/Hospital,patient.diagnosed,sample.analysed,False,missing
mistral-nemotron,OriginalDataset/Hospital,patient.diagnosed,sample.results_validated,False,missing
mistral-nemotron,OriginalDataset/Hospital,patient.under_therapy,patient.diagnosed,False,missing
mistral-nemotron,OriginalDataset/Hospital,patient.under_therapy,therapy.prescribed,False,missing
mistral-nemotron,OriginalDataset/Hospital,examination_form.filled_out,patient.healthy,False,missing
mistral-nemotron,OriginalDataset/Hospital,request_form.filled_out,patient.needs_additional_examination,False,missing
mistral-nemotron,OriginalDataset/Hospital,request_form.includes_details,request_form.filled_out,False,missing
mistral-nemotron,OriginalDataset/Hospital,request_form.refers_to_lab,request_form.filled_out,False,missing
mistral-nemotron,OriginalDataset/Hospital,informed_consent.signed,patient.informed,False,missing
mistral-nemotron,OriginalDataset/Hospital,appointment.arranged,patient.consented,False,missing
mistral-nemotron,OriginalDataset/Hospital,appointment.scheduled,informed_consent.signed,False,missing
mistral-nemotron,OriginalDataset/Hospital,sample.taken,patient.appointed,False,missing
mistral-nemotron,OriginalDataset/Hospital,sample.contaminated,sample.sent_to_lab,False,missing
mistral-nemotron,OriginalDataset/Hospital,sample.analysed,analysis.performed,False,missing
mistral-nemotron,OriginalDataset/Hospital,examination_and_sampling.prepared,patient.appointed,False,missing
mistral-nemotron,OriginalDataset/Hospital,examination_and_sampling.prepared,request_form.includes_details,False,missing
mistral-nemotron,OriginalDataset/Hospital,examination_and_sampling.prepared,request_form.refers_to_lab,False,missing
mistral-nemotron,OriginalDataset/Hospital,analysis.performed,sample.validated,False,missing
mistral-nemotron,OriginalDataset/HotelService,cart_preparation.in_progress,room_service_order.assigned_to_waiter,False,missing
mistral-nemotron,OriginalDataset/HotelService,cart_preparation.ready,cart_preparation.in_progress,False,missing
mistral-nemotron,OriginalDataset/Hotel,order.delivered,food_preparation.ready,False,missing
mistral-nemotron,OriginalDataset/Hotel,order.delivered,wine_preparation.ready,False,missing
mistral-nemotron,OriginalDataset/Hotel,order.delivered,cart_preparation.ready,False,missing
mistral-nemotron,OriginalDataset/Hotel,order.billed,order.delivered,False,missing
mistral-nemotron,OriginalDataset/Hotel,wine_preparation.in_progress,order.submitted_to_kitchen,False,low_confidence
mistral-nemotron,OriginalDataset/Hotel,wine_preparation.ready,wine_preparation.in_progress,False,missing
mistral-nemotron,OriginalDataset/Hotel,cart_preparation.in_progress,order.assigned_to_waiter,False,missing
mistral-nemotron,OriginalDataset/Hotel,cart_preparation.ready,cart_preparation.in_progress,False,missing
mistral-nemotron,OriginalDataset/Hotel,guest_account.debited,order.billed,False,missing
mistral-nemotron,OriginalDataset/Model1-2,computer.under_repair,repair_cost_calculation.issued,False,missing
mistral-nemotron,OriginalDataset/Model1-2,computer.under_repair,NOT computer.unrepaired,True,missing
mistral-nemotron,OriginalDataset/Model1-2,computer.repaired,repair_process.finished,False,missing
mistral-nemotron,OriginalDataset/Model1-2,computer.unrepaired,repair_cost_calculation.issued,False,missing
mistral-nemotron,OriginalDataset/Model1-2,computer.unrepaired,NOT computer.under_repair,True,missing
mistral-nemotron,OriginalDataset/Model1-2,hardware_repair.in_progress,computer.under_repair,False,missing
mistral-nemotron,OriginalDataset/Model1-2,hardware_repair.in_progress,repair_process.ongoing,False,missing
mistral-nemotron,OriginalDataset/Model1-2,software_configuration.in_progress,repair_process.ongoing,False,missing
mistral-nemotron,OriginalDataset/Model1-2,software_configuration.complete,software_configuration.in_progress,False,missing
mistral-nemotron,OriginalDataset/Model1-2,repair_process.ongoing,computer.under_repair,False,missing
mistral-nemotron,OriginalDataset/Model1-2,repair_process.finished,hardware_repair.complete,False,missing
mistral-nemotron,OriginalDataset/Model1-2,repair_process.finished,software_configuration.complete,False,missing
mistral-nemotron,OriginalDataset/Model1-2,repair_process.finished,system_functionality_test.passed,False,missing
mistral-nemotron,OriginalDataset/Model1-4,registration_statement.awaiting_approval,registration_statement.prepared,False,missing
mistral-nemotron,OriginalDataset/Model1-4,registration_statement.approved,sec_clearance.received,False,missing
mistral-nemotron,OriginalDataset/Model1-4,issue.registered,registration_statement.prepared,False,missing
mistral-nemotron,OriginalDataset/Model1-4,issue.compliant,issue.registered,False,missing
mistral-nemotron,OriginalDataset/Model1-4,issue.bought,firm_commitment.entered,False,missing
mistral-nemotron,OriginalDataset/Model1-4,road_show.arranged,registration_statement.awaiting_approval,False,missing
mistral-nemotron,OriginalDataset/Model1-4,road_show.conducted,road_show.arranged,False,missing
mistral-nemotron,OriginalDataset/Model1-4,sec_clearance.received,registration_statement.awaiting_approval,False,missing
mistral-nemotron,OriginalDataset/Model1-4,issue_price.firmed_up,road_show.arranged,False,missing
mistral-nemotron,OriginalDataset/Model1-4,firm_commitment.entered,issue_price.fixed,False,missing
mistral-nemotron,OriginalDataset/Model10-10,fault_detector.results_shared,measuring_device.fault_fixed,False,missing
mistral-nemotron,OriginalDataset/Model10-10,measuring_device.fault_fixed,fault_detector.failure_confirmed,False,low_confidence
mistral-nemotron,OriginalDataset/Model10-1,dismissal.under_review,dismissal.sent,False,low_confidence
mistral-nemotron,OriginalDataset/Model10-1,dismissal.opposed,mpoo.opposing,False,missing
mistral-nemotron,OriginalDataset/Model10-1,dismissal.confirmed,mpoo.confirming,False,missing
mistral-nemotron,OriginalDataset/Model10-1,mpon.dismissed,dismissal.confirmed,False,missing
mistral-nemotron,OriginalDataset/Model10-1,mpoo.reviewing,dismissal.sent,False,missing
