model,case,target,arity,status
gpt-5.5,OriginalDataset/Hotel,alcoholic_beverage.delivered,3,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hotel,cart.readied,3,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hotel,cart.ready,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hotel,tablecloth.placed,3,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hotel,silverware.gathered,3,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hotel,nonalcoholic_drink.prepared,1,SATISFIED
gpt-5.5,OriginalDataset/Hotel,nonalcoholic_drink.delivered,3,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hotel,kitchen_task.in_progress,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hotel,sommelier_task.in_progress,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hotel,guest_account.debited,1,SATISFIED
gpt-5.5,OriginalDataset/Model1-2,computer.unrepaired,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-2,computer.brought_in,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-2,computer.taken_home,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-2,defect.checked,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-2,repair_cost_calculation.handed_out,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-2,cost.acceptable,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-2,cost.unacceptable,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-2,process.continued,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-2,repair.ongoing,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-2,repair.finished,2,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-2,hardware.checked,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-2,hardware.repaired,1,VIOLATED
gpt-5.5,OriginalDataset/Model1-2,software.checked,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-2,software.configured,1,VIOLATED
gpt-5.5,OriginalDataset/Model1-2,system_functionality.tested,1,SATISFIED
gpt-5.5,OriginalDataset/Model1-2,system_functionality.tested,1,SATISFIED
gpt-5.5,OriginalDataset/Model1-2,error.detected,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-2,repair_activity.executed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-4,issue.resold,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-4,issue.handled,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-4,issue.approved,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-4,registration_statement.awaiting_approval,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-4,registration_statement.cleared,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-4,issue_price.being_firmed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-4,issue_price.fixed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-4,stock.bought,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model1-4,firm_commitment.entered,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model10-10,failure.examined,1,VIOLATED
gpt-5.5,OriginalDataset/Model10-10,failure.examined,1,SATISFIED
gpt-5.5,OriginalDataset/Model10-10,failure.rejected,1,SATISFIED
gpt-5.5,OriginalDataset/Model10-10,failure.confirmed,1,SATISFIED
gpt-5.5,OriginalDataset/Model10-10,fault_detector.informed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model10-10,fault.fixed,1,SATISFIED
gpt-5.5,OriginalDataset/Model10-10,measuring_device.fixed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model10-10,repair.carried_out,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model10-10,result.shared,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model10-10,resolution.reported,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model10-1,dismissal.reviewed,1,VIOLATED
gpt-5.5,OriginalDataset/Model10-1,dismissal.opposed,1,VIOLATED
gpt-5.5,OriginalDataset/Model10-1,dismissal.confirmed,1,VIOLATED
gpt-5.5,OriginalDataset/Model10-1,mpon.dismissed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model10-1,mpoo.opposed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Model10-1,mpoo.confirmed,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/BicycleManufacturing,process_instance.created,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/BicycleManufacturing,process_instance.finished,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/BicycleManufacturing,order.accepted,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/BicycleManufacturing,order.rejected,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/BicycleManufacturing,storehouse.informed,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/BicycleManufacturing,storehouse.processed,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/BicycleManufacturing,storehouse.reserved,2,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/BicycleManufacturing,storehouse.back_ordered,2,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/BicycleManufacturing,engineering_department.informed,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/BicycleManufacturing,engineering_department.prepared,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/BicycleManufacturing,part_list.processed,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/BicycleManufacturing,bicycle.assembled,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/BicycleManufacturing,bicycle.shipped,2,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/BicycleManufacturing,sale_department.accepts,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/BicycleManufacturing,sale_department.rejects,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/ClaimsCreation,file.put_in_file,1,SATISFIED
gpt-oss-20b,OriginalDataset/ClaimsCreation,action_plan.created,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Hospital,female_patient.healthy,1,SATISFIED
gpt-oss-20b,OriginalDataset/Hospital,female_patient.needs_additional_examination,1,SATISFIED
gpt-oss-20b,OriginalDataset/Hospital,female_patient.left,1,SATISFIED
gpt-oss-20b,OriginalDataset/Hospital,request_form.filled_out,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Hospital,lab.validated_sample_state,2,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Hospital,sample.validated,2,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/HotelService,order_ticket.submitted,1,VIOLATED
gpt-oss-20b,OriginalDataset/HotelService,kitchen.preparing_food,1,SATISFIED
gpt-oss-20b,OriginalDataset/HotelService,wine.ready,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/HotelService,alcoholic_beverage.ready,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/HotelService,food.ready,1,VIOLATED
gpt-oss-20b,OriginalDataset/HotelService,guest_room.received,3,SATISFIED
gpt-oss-20b,OriginalDataset/HotelService,guest_account.debited,1,SATISFIED
gpt-oss-20b,OriginalDataset/Hotel,room_service_order.prepared,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Hotel,room_service_order.delivered,2,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Hotel,kitchen.preparing,1,SATISFIED
gpt-oss-20b,OriginalDataset/Hotel,kitchen.ready,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Hotel,guest_room.received,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Hotel,guest_account.debited,1,SATISFIED
gpt-oss-20b,OriginalDataset/Model1-2,defective_computer.unrepaired,2,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model1-2,repair_cost_calculation.issued,1,SATISFIED
gpt-oss-20b,OriginalDataset/Model1-2,repair_process.ongoing,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model1-2,repair_process.finished,2,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model1-2,hardware_repair.completed,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model1-2,software_configure.completed,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model1-2,system_functionality_test.passed,1,SATISFIED
gpt-oss-20b,OriginalDataset/Model1-2,system_functionality_test.passed,1,SATISFIED
gpt-oss-20b,OriginalDataset/Model1-2,system_functionality_test.failed,1,SATISFIED
gpt-oss-20b,OriginalDataset/Model1-2,system_functionality_test.failed,1,SATISFIED
gpt-oss-20b,OriginalDataset/Model1-2,error_detected.detected,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model1-2,repair_finished.finished,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model1-4,registration_statement.awaiting_approval,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model1-4,registration_statement.approved,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model1-4,blue_sky_law.checked,1,VIOLATED
gpt-oss-20b,OriginalDataset/Model1-4,issue_price.firmed,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model1-4,issue_price.fixed,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model1-4,road_show.arranged,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model1-4,road_show.conducted,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model1-4,clearance.received,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model1-4,firm_commitment.entered,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model1-4,stock.offered,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model1-4,issue.approved,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model1-4,issue.priced,1,VIOLATED
gpt-oss-20b,OriginalDataset/Model1-4,issue.sold,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model10-10,measuring_device.fixed,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model10-10,repair.completed,1,UNRESOLVABLE
gpt-oss-20b,OriginalDataset/Model10-1,dismissal.reviewed,1,VIOLATED
gpt-oss-20b,OriginalDataset/Model10-1,dismissal.opposed,1,VIOLATED
gpt-oss-20b,OriginalDataset/Model10-1,dismissal.confirmed,1,VIOLATED
llama-3.1-8b,OriginalDataset/BicycleManufacturing,order.rejected,2,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/BicycleManufacturing,order.accepted,1,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/BicycleManufacturing,storehouse.informed,1,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/BicycleManufacturing,engineering_department.informed,1,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/BicycleManufacturing,part_list.processed,1,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/BicycleManufacturing,part_list.complete,1,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/BicycleManufacturing,part.available,1,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/BicycleManufacturing,part.reserved,2,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/BicycleManufacturing,part.back_ordered,2,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/BicycleManufacturing,order_shipment.finished,1,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/BicycleManufacturing,assembling.finished,1,VIOLATED
llama-3.1-8b,OriginalDataset/BicycleManufacturing,order_preparation.finished,3,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/BicycleManufacturing,sale_department.informed,1,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/ClaimsCreation,file.created,3,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/ClaimsCreation,initial_claim_estimate.calculated,1,SATISFIED
llama-3.1-8b,OriginalDataset/ClaimsCreation,claim_estimate.negotiated,1,SATISFIED
llama-3.1-8b,OriginalDataset/ClaimsCreation,outcome.finalized,1,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/Hospital,examination_form.filled_out,1,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/Hospital,request_form.filled_out,1,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/Hospital,lab.suitable,1,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/Hospital,appointment.arranged,1,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/Hospital,sample.prepared,2,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/Hospital,sample.taken,2,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/Hospital,sample.sent,2,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/Hospital,sample.validated,2,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/Hospital,sample.contaminated,1,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/Hospital,sample.analyzed,1,SATISFIED
llama-3.1-8b,OriginalDataset/Hospital,follow_up_treatment.prepared,1,SATISFIED
llama-3.1-8b,OriginalDataset/Hospital,follow_up_treatment.conducted,1,SATISFIED
llama-3.1-8b,OriginalDataset/Hospital,examination_process.in_progress,3,UNRESOLVABLE
llama-3.1-8b,OriginalDataset/Hospital,examination_process.complete,2,VIOLATED
llama-3.1-8b,OriginalDataset/Hospital,outpatient_department.made_diagnosis,1,SATISFIED
mistral-nemotron,OriginalDataset/BicycleManufacturing,order.rejected,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/BicycleManufacturing,order.accepted,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/BicycleManufacturing,process_instance.created,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/BicycleManufacturing,process_instance.finished,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/BicycleManufacturing,process_instance.finished,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/BicycleManufacturing,part_list.processed,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/BicycleManufacturing,part.reserved,2,SATISFIED
mistral-nemotron,OriginalDataset/BicycleManufacturing,part.back_ordered,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/BicycleManufacturing,preparation_activity.in_progress,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/BicycleManufacturing,bicycle.assembled,2,SATISFIED
mistral-nemotron,OriginalDataset/BicycleManufacturing,bicycle.assembled,2,SATISFIED
mistral-nemotron,OriginalDataset/BicycleManufacturing,bicycle.shipped,1,SATISFIED
mistral-nemotron,OriginalDataset/BicycleManufacturing,part_list_processing.in_progress,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/ClaimsCreation,police_report.in_file,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/ClaimsCreation,file.created,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/ClaimsCreation,file.input_to_claims_handler,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/ClaimsCreation,initial_claim_estimate.calculated,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/ClaimsCreation,action_plan.created,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/ClaimsCreation,action_plan.based_on_checklist,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/ClaimsCreation,settlement.negotiated,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/ClaimsCreation,outcome.communicated,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Dispatch-of-goods,good.prepared_for_pickup,1,SATISFIED
mistral-nemotron,OriginalDataset/Dispatch-of-goods,package_label.written,1,SATISFIED
mistral-nemotron,OriginalDataset/Hospital,patient.healthy,1,SATISFIED
mistral-nemotron,OriginalDataset/Hospital,patient.needs_additional_examination,1,SATISFIED
mistral-nemotron,OriginalDataset/Hospital,patient.informed,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,patient.consented,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,patient.appointed,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,patient.sampled,3,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,patient.under_follow_up_treatment,3,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,patient.diagnosed,3,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,patient.under_therapy,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,examination_form.filled_out,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,request_form.filled_out,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,request_form.includes_details,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,request_form.refers_to_lab,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,informed_consent.signed,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,appointment.arranged,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,appointment.scheduled,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,sample.taken,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,sample.sent_to_lab,1,SATISFIED
mistral-nemotron,OriginalDataset/Hospital,sample.validated,1,SATISFIED
mistral-nemotron,OriginalDataset/Hospital,sample.contaminated,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,sample.analysed,2,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,sample.results_validated,1,SATISFIED
mistral-nemotron,OriginalDataset/Hospital,diagnosis.made,2,SATISFIED
mistral-nemotron,OriginalDataset/Hospital,therapy.prescribed,1,SATISFIED
mistral-nemotron,OriginalDataset/Hospital,examination_and_sampling.prepared,3,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hospital,analysis.performed,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/HotelService,room_service_order.submitted_to_kitchen,1,SATISFIED
mistral-nemotron,OriginalDataset/HotelService,room_service_order.assigned_to_waiter,1,VIOLATED
mistral-nemotron,OriginalDataset/HotelService,room_service_order.delivered,3,SATISFIED
mistral-nemotron,OriginalDataset/HotelService,room_service_order.billed,1,SATISFIED
mistral-nemotron,OriginalDataset/HotelService,food_preparation.in_progress,1,SATISFIED
mistral-nemotron,OriginalDataset/HotelService,food_preparation.ready,1,SATISFIED
mistral-nemotron,OriginalDataset/HotelService,wine_preparation.in_progress,1,SATISFIED
mistral-nemotron,OriginalDataset/HotelService,wine_preparation.ready,1,SATISFIED
mistral-nemotron,OriginalDataset/HotelService,cart_preparation.in_progress,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/HotelService,cart_preparation.ready,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/HotelService,guest_account.debited,1,SATISFIED
mistral-nemotron,OriginalDataset/Hotel,order.submitted_to_kitchen,1,SATISFIED
mistral-nemotron,OriginalDataset/Hotel,order.assigned_to_waiter,1,SATISFIED
mistral-nemotron,OriginalDataset/Hotel,order.delivered,3,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hotel,order.billed,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hotel,food_preparation.in_progress,1,SATISFIED
mistral-nemotron,OriginalDataset/Hotel,food_preparation.ready,1,VIOLATED
mistral-nemotron,OriginalDataset/Hotel,wine_preparation.in_progress,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hotel,wine_preparation.ready,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hotel,cart_preparation.in_progress,1,UNRESOLVABLE
mistral-nemotron,OriginalDataset/Hotel,cart_preparation.ready,1,UNRESOLVABLE
