model,case,margin,SATISFIED,VIOLATED,UNRESOLVABLE,verdict,avg_matches_per_activity
gpt-5.5,OriginalDataset/Hospital,0.05,8,0,30,FAITHFUL_WITH_RESERVATIONS,1.429
gpt-5.5,OriginalDataset/Hospital,0.1,13,1,24,FAITHFUL_WITH_RESERVATIONS,2.214
gpt-5.5,OriginalDataset/Hospital,0.15,18,1,19,FAITHFUL_WITH_RESERVATIONS,3.214
gpt-5.5,OriginalDataset/Hospital,0.2,20,0,18,FAITHFUL_WITH_RESERVATIONS,3.857
gpt-5.5,OriginalDataset/Hospital,0.25,20,0,18,FAITHFUL_WITH_RESERVATIONS,4.214
gpt-5.5,OriginalDataset/Hospital,0.3,20,0,18,FAITHFUL_WITH_RESERVATIONS,4.286
gpt-5.5,OriginalDataset/HotelService,0.05,8,0,16,FAITHFUL_WITH_RESERVATIONS,1.167
gpt-5.5,OriginalDataset/HotelService,0.1,16,0,8,FAITHFUL_WITH_RESERVATIONS,1.75
gpt-5.5,OriginalDataset/HotelService,0.15,24,0,0,FAITHFUL,2.417
gpt-5.5,OriginalDataset/HotelService,0.2,24,0,0,FAITHFUL,3.0
gpt-5.5,OriginalDataset/HotelService,0.25,24,0,0,FAITHFUL,3.5
gpt-5.5,OriginalDataset/HotelService,0.3,24,0,0,FAITHFUL,3.583
gpt-5.5,OriginalDataset/Hotel,0.05,8,2,28,NOT_FAITHFUL,1.167
gpt-5.5,OriginalDataset/Hotel,0.1,16,3,19,NOT_FAITHFUL,1.833
gpt-5.5,OriginalDataset/Hotel,0.15,16,3,19,NOT_FAITHFUL,2.167
gpt-5.5,OriginalDataset/Hotel,0.2,29,3,6,NOT_FAITHFUL,2.833
gpt-5.5,OriginalDataset/Hotel,0.25,29,3,6,NOT_FAITHFUL,3.25
gpt-5.5,OriginalDataset/Hotel,0.3,29,3,6,NOT_FAITHFUL,3.417
gpt-5.5,OriginalDataset/Model1-2,0.05,2,2,15,FAITHFUL_WITH_RESERVATIONS,1.25
gpt-5.5,OriginalDataset/Model1-2,0.1,2,3,14,NOT_FAITHFUL,1.375
gpt-5.5,OriginalDataset/Model1-2,0.15,2,3,14,NOT_FAITHFUL,2.125
gpt-5.5,OriginalDataset/Model1-2,0.2,2,3,14,NOT_FAITHFUL,3.0
gpt-5.5,OriginalDataset/Model1-2,0.25,3,2,14,FAITHFUL_WITH_RESERVATIONS,3.5
gpt-5.5,OriginalDataset/Model1-2,0.3,4,2,13,FAITHFUL_WITH_RESERVATIONS,3.75
gpt-5.5,OriginalDataset/Model1-4,0.05,0,0,9,FAITHFUL_WITH_RESERVATIONS,0.714
gpt-5.5,OriginalDataset/Model1-4,0.1,0,2,7,NOT_FAITHFUL,1.143
gpt-5.5,OriginalDataset/Model1-4,0.15,0,2,7,NOT_FAITHFUL,1.571
gpt-5.5,OriginalDataset/Model1-4,0.2,0,4,5,NOT_FAITHFUL,2.286
gpt-5.5,OriginalDataset/Model1-4,0.25,0,4,5,NOT_FAITHFUL,2.286
gpt-5.5,OriginalDataset/Model1-4,0.3,0,4,5,NOT_FAITHFUL,2.286
gpt-5.5,OriginalDataset/Model10-10,0.05,4,1,5,NOT_FAITHFUL,1.3
gpt-5.5,OriginalDataset/Model10-10,0.1,5,2,3,NOT_FAITHFUL,1.9
gpt-5.5,OriginalDataset/Model10-10,0.15,5,3,2,NOT_FAITHFUL,2.2
gpt-5.5,OriginalDataset/Model10-10,0.2,7,1,2,NOT_FAITHFUL,3.7
gpt-5.5,OriginalDataset/Model10-10,0.25,7,1,2,NOT_FAITHFUL,4.2
gpt-5.5,OriginalDataset/Model10-10,0.3,7,1,2,NOT_FAITHFUL,4.9
gpt-5.5,OriginalDataset/Model10-1,0.05,0,3,3,NOT_FAITHFUL,1.75
gpt-5.5,OriginalDataset/Model10-1,0.1,0,3,3,NOT_FAITHFUL,2.25
gpt-5.5,OriginalDataset/Model10-1,0.15,0,3,3,NOT_FAITHFUL,2.5
gpt-5.5,OriginalDataset/Model10-1,0.2,0,3,3,NOT_FAITHFUL,3.25
gpt-5.5,OriginalDataset/Model10-1,0.25,0,3,3,NOT_FAITHFUL,3.5
gpt-5.5,OriginalDataset/Model10-1,0.3,0,3,3,NOT_FAITHFUL,3.75
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.05,1,0,17,FAITHFUL_WITH_RESERVATIONS,1.222
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.1,3,0,15,FAITHFUL_WITH_RESERVATIONS,1.667
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.15,5,0,13,FAITHFUL_WITH_RESERVATIONS,2.0
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.2,6,0,12,FAITHFUL_WITH_RESERVATIONS,2.222
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.25,6,0,12,FAITHFUL_WITH_RESERVATIONS,2.222
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.3,6,0,12,FAITHFUL_WITH_RESERVATIONS,2.222
gpt-oss-20b,OriginalDataset/ClaimsCreation,0.05,1,0,1,FAITHFUL_WITH_RESERVATIONS,0.5
gpt-oss-20b,OriginalDataset/ClaimsCreation,0.1,1,0,1,FAITHFUL_WITH_RESERVATIONS,0.5
gpt-oss-20b,OriginalDataset/ClaimsCreation,0.15,1,0,1,FAITHFUL_WITH_RESERVATIONS,0.5
gpt-oss-20b,OriginalDataset/ClaimsCreation,0.2,1,0,1,FAITHFUL_WITH_RESERVATIONS,0.5
gpt-oss-20b,OriginalDataset/ClaimsCreation,0.25,1,1,0,NOT_FAITHFUL,0.667
gpt-oss-20b,OriginalDataset/ClaimsCreation,0.3,1,1,0,NOT_FAITHFUL,0.667
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,0.05,0,0,0,FAITHFUL,0.857
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,0.1,0,0,0,FAITHFUL,0.857
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,0.15,0,0,0,FAITHFUL,1.143
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,0.2,0,0,0,FAITHFUL,1.143
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,0.25,0,0,0,FAITHFUL,1.143
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,0.3,0,0,0,FAITHFUL,1.143
gpt-oss-20b,OriginalDataset/Hospital,0.05,4,0,4,FAITHFUL_WITH_RESERVATIONS,1.286
gpt-oss-20b,OriginalDataset/Hospital,0.1,4,0,4,FAITHFUL_WITH_RESERVATIONS,1.571
gpt-oss-20b,OriginalDataset/Hospital,0.15,4,0,4,FAITHFUL_WITH_RESERVATIONS,1.929
gpt-oss-20b,OriginalDataset/Hospital,0.2,4,0,4,FAITHFUL_WITH_RESERVATIONS,2.286
gpt-oss-20b,OriginalDataset/Hospital,0.25,4,0,4,FAITHFUL_WITH_RESERVATIONS,2.357
gpt-oss-20b,OriginalDataset/Hospital,0.3,4,0,4,FAITHFUL_WITH_RESERVATIONS,2.357
gpt-oss-20b,OriginalDataset/HotelService,0.05,5,2,2,NOT_FAITHFUL,0.833
gpt-oss-20b,OriginalDataset/HotelService,0.1,5,2,2,NOT_FAITHFUL,0.833
gpt-oss-20b,OriginalDataset/HotelService,0.15,6,1,2,NOT_FAITHFUL,0.917
gpt-oss-20b,OriginalDataset/HotelService,0.2,6,1,2,NOT_FAITHFUL,0.917
gpt-oss-20b,OriginalDataset/HotelService,0.25,6,1,2,NOT_FAITHFUL,1.25
gpt-oss-20b,OriginalDataset/HotelService,0.3,6,1,2,NOT_FAITHFUL,1.25
gpt-oss-20b,OriginalDataset/Hotel,0.05,3,0,4,FAITHFUL_WITH_RESERVATIONS,0.667
gpt-oss-20b,OriginalDataset/Hotel,0.1,7,0,0,FAITHFUL,1.167
gpt-oss-20b,OriginalDataset/Hotel,0.15,7,0,0,FAITHFUL,1.25
gpt-oss-20b,OriginalDataset/Hotel,0.2,7,0,0,FAITHFUL,1.25
gpt-oss-20b,OriginalDataset/Hotel,0.25,7,0,0,FAITHFUL,1.417
gpt-oss-20b,OriginalDataset/Hotel,0.3,7,0,0,FAITHFUL,1.417
gpt-oss-20b,OriginalDataset/Model1-2,0.05,5,0,9,FAITHFUL_WITH_RESERVATIONS,0.875
gpt-oss-20b,OriginalDataset/Model1-2,0.1,5,2,7,NOT_FAITHFUL,1.0
gpt-oss-20b,OriginalDataset/Model1-2,0.15,5,2,7,NOT_FAITHFUL,1.0
gpt-oss-20b,OriginalDataset/Model1-2,0.2,5,2,7,NOT_FAITHFUL,1.75
gpt-oss-20b,OriginalDataset/Model1-2,0.25,7,2,5,NOT_FAITHFUL,2.125
gpt-oss-20b,OriginalDataset/Model1-2,0.3,9,2,3,NOT_FAITHFUL,2.375
gpt-oss-20b,OriginalDataset/Model1-4,0.05,0,2,11,FAITHFUL_WITH_RESERVATIONS,0.857
gpt-oss-20b,OriginalDataset/Model1-4,0.1,0,5,8,NOT_FAITHFUL,1.286
gpt-oss-20b,OriginalDataset/Model1-4,0.15,0,5,8,NOT_FAITHFUL,1.429
gpt-oss-20b,OriginalDataset/Model1-4,0.2,0,5,8,NOT_FAITHFUL,1.714
gpt-oss-20b,OriginalDataset/Model1-4,0.25,0,5,8,NOT_FAITHFUL,1.857
gpt-oss-20b,OriginalDataset/Model1-4,0.3,0,5,8,NOT_FAITHFUL,1.857
gpt-oss-20b,OriginalDataset/Model10-10,0.05,0,0,2,FAITHFUL_WITH_RESERVATIONS,0.8
gpt-oss-20b,OriginalDataset/Model10-10,0.1,0,0,2,FAITHFUL_WITH_RESERVATIONS,0.8
gpt-oss-20b,OriginalDataset/Model10-10,0.15,0,0,2,FAITHFUL_WITH_RESERVATIONS,0.8
gpt-oss-20b,OriginalDataset/Model10-10,0.2,0,0,2,FAITHFUL_WITH_RESERVATIONS,0.9
gpt-oss-20b,OriginalDataset/Model10-10,0.25,0,0,2,FAITHFUL_WITH_RESERVATIONS,1.0
gpt-oss-20b,OriginalDataset/Model10-10,0.3,0,0,2,FAITHFUL_WITH_RESERVATIONS,1.1
gpt-oss-20b,OriginalDataset/Model10-1,0.05,0,3,0,NOT_FAITHFUL,1.75
gpt-oss-20b,OriginalDataset/Model10-1,0.1,0,3,0,NOT_FAITHFUL,2.25
gpt-oss-20b,OriginalDataset/Model10-1,0.15,0,3,0,NOT_FAITHFUL,2.5
gpt-oss-20b,OriginalDataset/Model10-1,0.2,0,3,0,NOT_FAITHFUL,3.0
gpt-oss-20b,OriginalDataset/Model10-1,0.25,0,3,0,NOT_FAITHFUL,3.0
gpt-oss-20b,OriginalDataset/Model10-1,0.3,0,3,0,NOT_FAITHFUL,3.0
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.05,1,1,16,FAITHFUL_WITH_RESERVATIONS,1.556
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.1,2,1,15,NOT_FAITHFUL,2.0
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.15,6,1,11,NOT_FAITHFUL,2.333
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.2,9,0,9,FAITHFUL_WITH_RESERVATIONS,2.778
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.25,9,0,9,FAITHFUL_WITH_RESERVATIONS,3.0
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.3,9,0,9,FAITHFUL_WITH_RESERVATIONS,3.0
llama-3.1-8b,OriginalDataset/ClaimsCreation,0.05,3,1,2,NOT_FAITHFUL,1.333
llama-3.1-8b,OriginalDataset/ClaimsCreation,0.1,3,1,2,NOT_FAITHFUL,1.333
llama-3.1-8b,OriginalDataset/ClaimsCreation,0.15,3,1,2,NOT_FAITHFUL,1.5
llama-3.1-8b,OriginalDataset/ClaimsCreation,0.2,3,1,2,NOT_FAITHFUL,1.5
llama-3.1-8b,OriginalDataset/ClaimsCreation,0.25,3,1,2,NOT_FAITHFUL,1.5
llama-3.1-8b,OriginalDataset/ClaimsCreation,0.3,3,1,2,NOT_FAITHFUL,1.667
llama-3.1-8b,OriginalDataset/Hospital,0.05,7,2,13,NOT_FAITHFUL,1.357
llama-3.1-8b,OriginalDataset/Hospital,0.1,8,2,12,NOT_FAITHFUL,1.714
llama-3.1-8b,OriginalDataset/Hospital,0.15,11,2,9,NOT_FAITHFUL,2.429
llama-3.1-8b,OriginalDataset/Hospital,0.2,11,2,9,NOT_FAITHFUL,2.643
llama-3.1-8b,OriginalDataset/Hospital,0.25,11,2,9,NOT_FAITHFUL,2.786
llama-3.1-8b,OriginalDataset/Hospital,0.3,13,0,9,FAITHFUL_WITH_RESERVATIONS,2.857
llama-3.1-8b,OriginalDataset/Hotel,0.05,0,0,0,FAITHFUL,0.333
llama-3.1-8b,OriginalDataset/Hotel,0.1,0,0,0,FAITHFUL,0.333
llama-3.1-8b,OriginalDataset/Hotel,0.15,0,0,0,FAITHFUL,0.333
llama-3.1-8b,OriginalDataset/Hotel,0.2,0,0,0,FAITHFUL,0.333
llama-3.1-8b,OriginalDataset/Hotel,0.25,0,0,0,FAITHFUL,0.417
llama-3.1-8b,OriginalDataset/Hotel,0.3,0,0,0,FAITHFUL,0.417
llama-3.1-8b,OriginalDataset/Model1-2,0.05,0,0,0,FAITHFUL,1.375
llama-3.1-8b,OriginalDataset/Model1-2,0.1,0,0,0,FAITHFUL,1.375
llama-3.1-8b,OriginalDataset/Model1-2,0.15,0,0,0,FAITHFUL,1.75
llama-3.1-8b,OriginalDataset/Model1-2,0.2,0,0,0,FAITHFUL,2.75
llama-3.1-8b,OriginalDataset/Model1-2,0.25,0,0,0,FAITHFUL,3.25
llama-3.1-8b,OriginalDataset/Model1-2,0.3,0,0,0,FAITHFUL,3.375
llama-3.1-8b,OriginalDataset/Model10-1,0.05,0,0,0,FAITHFUL,1.0
llama-3.1-8b,OriginalDataset/Model10-1,0.1,0,0,0,FAITHFUL,1.75
llama-3.1-8b,OriginalDataset/Model10-1,0.15,0,0,0,FAITHFUL,2.25
llama-3.1-8b,OriginalDataset/Model10-1,0.2,0,0,0,FAITHFUL,2.25
llama-3.1-8b,OriginalDataset/Model10-1,0.25,0,0,0,FAITHFUL,2.25
llama-3.1-8b,OriginalDataset/Model10-1,0.3,0,0,0,FAITHFUL,2.25
mistral-nemotron,OriginalDataset/BicycleManufacturing,0.05,8,0,10,FAITHFUL_WITH_RESERVATIONS,1.778
mistral-nemotron,OriginalDataset/BicycleManufacturing,0.1,8,0,10,FAITHFUL_WITH_RESERVATIONS,1.778
mistral-nemotron,OriginalDataset/BicycleManufacturing,0.15,8,0,10,FAITHFUL_WITH_RESERVATIONS,2.111
mistral-nemotron,OriginalDataset/BicycleManufacturing,0.2,8,0,10,FAITHFUL_WITH_RESERVATIONS,2.333
mistral-nemotron,OriginalDataset/BicycleManufacturing,0.25,8,0,10,FAITHFUL_WITH_RESERVATIONS,2.444
mistral-nemotron,OriginalDataset/BicycleManufacturing,0.3,8,0,10,FAITHFUL_WITH_RESERVATIONS,2.444
mistral-nemotron,OriginalDataset/ClaimsCreation,0.05,1,1,10,FAITHFUL_WITH_RESERVATIONS,1.167
mistral-nemotron,OriginalDataset/ClaimsCreation,0.1,2,1,9,FAITHFUL_WITH_RESERVATIONS,1.333
mistral-nemotron,OriginalDataset/ClaimsCreation,0.15,3,1,8,FAITHFUL_WITH_RESERVATIONS,1.5
mistral-nemotron,OriginalDataset/ClaimsCreation,0.2,4,3,5,NOT_FAITHFUL,1.833
mistral-nemotron,OriginalDataset/ClaimsCreation,0.25,8,3,1,NOT_FAITHFUL,2.167
mistral-nemotron,OriginalDataset/ClaimsCreation,0.3,8,3,1,NOT_FAITHFUL,2.167
mistral-nemotron,OriginalDataset/Dispatch-of-goods,0.05,2,0,0,FAITHFUL,2.0
mistral-nemotron,OriginalDataset/Dispatch-of-goods,0.1,2,0,0,FAITHFUL,2.0
mistral-nemotron,OriginalDataset/Dispatch-of-goods,0.15,2,0,0,FAITHFUL,2.0
mistral-nemotron,OriginalDataset/Dispatch-of-goods,0.2,2,0,0,FAITHFUL,2.0
mistral-nemotron,OriginalDataset/Dispatch-of-goods,0.25,2,0,0,FAITHFUL,2.0
mistral-nemotron,OriginalDataset/Dispatch-of-goods,0.3,2,0,0,FAITHFUL,2.0
mistral-nemotron,OriginalDataset/Hospital,0.05,11,0,30,FAITHFUL_WITH_RESERVATIONS,1.357
mistral-nemotron,OriginalDataset/Hospital,0.1,14,0,27,FAITHFUL_WITH_RESERVATIONS,1.714
mistral-nemotron,OriginalDataset/Hospital,0.15,17,0,24,FAITHFUL_WITH_RESERVATIONS,2.5
mistral-nemotron,OriginalDataset/Hospital,0.2,19,1,21,NOT_FAITHFUL,3.0
mistral-nemotron,OriginalDataset/Hospital,0.25,19,1,21,NOT_FAITHFUL,3.0
mistral-nemotron,OriginalDataset/Hospital,0.3,19,1,21,NOT_FAITHFUL,3.0
mistral-nemotron,OriginalDataset/HotelService,0.05,10,1,2,NOT_FAITHFUL,1.333
mistral-nemotron,OriginalDataset/HotelService,0.1,13,0,0,FAITHFUL,1.5
mistral-nemotron,OriginalDataset/HotelService,0.15,13,0,0,FAITHFUL,1.5
mistral-nemotron,OriginalDataset/HotelService,0.2,13,0,0,FAITHFUL,2.25
mistral-nemotron,OriginalDataset/HotelService,0.25,13,0,0,FAITHFUL,2.417
mistral-nemotron,OriginalDataset/HotelService,0.3,13,0,0,FAITHFUL,2.417
mistral-nemotron,OriginalDataset/Hotel,0.05,3,1,9,NOT_FAITHFUL,1.0
mistral-nemotron,OriginalDataset/Hotel,0.1,4,2,7,NOT_FAITHFUL,1.083
mistral-nemotron,OriginalDataset/Hotel,0.15,5,2,6,NOT_FAITHFUL,1.333
mistral-nemotron,OriginalDataset/Hotel,0.2,5,2,6,NOT_FAITHFUL,1.5
mistral-nemotron,OriginalDataset/Hotel,0.25,5,2,6,NOT_FAITHFUL,1.583
mistral-nemotron,OriginalDataset/Hotel,0.3,5,2,6,NOT_FAITHFUL,1.583
mistral-nemotron,OriginalDataset/Model1-2,0.05,3,5,13,NOT_FAITHFUL,1.125
mistral-nemotron,OriginalDataset/Model1-2,0.1,3,6,12,NOT_FAITHFUL,1.25
mistral-nemotron,OriginalDataset/Model1-2,0.15,3,6,12,NOT_FAITHFUL,1.625
mistral-nemotron,OriginalDataset/Model1-2,0.2,3,6,12,NOT_FAITHFUL,2.25
mistral-nemotron,OriginalDataset/Model1-2,0.25,6,10,5,NOT_FAITHFUL,3.0
mistral-nemotron,OriginalDataset/Model1-2,0.3,10,5,6,NOT_FAITHFUL,3.5
mistral-nemotron,OriginalDataset/Model1-4,0.05,2,1,10,NOT_FAITHFUL,1.0
mistral-nemotron,OriginalDataset/Model1-4,0.1,2,4,7,NOT_FAITHFUL,1.429
mistral-nemotron,OriginalDataset/Model1-4,0.15,2,4,7,NOT_FAITHFUL,1.714
mistral-nemotron,OriginalDataset/Model1-4,0.2,2,4,7,NOT_FAITHFUL,2.143
mistral-nemotron,OriginalDataset/Model1-4,0.25,2,4,7,NOT_FAITHFUL,2.143
mistral-nemotron,OriginalDataset/Model1-4,0.3,2,4,7,NOT_FAITHFUL,2.143
mistral-nemotron,OriginalDataset/Model10-10,0.05,2,0,2,FAITHFUL_WITH_RESERVATIONS,0.9
mistral-nemotron,OriginalDataset/Model10-10,0.1,4,0,0,FAITHFUL,1.2
mistral-nemotron,OriginalDataset/Model10-10,0.15,4,0,0,FAITHFUL,1.5
mistral-nemotron,OriginalDataset/Model10-10,0.2,4,0,0,FAITHFUL,1.7
mistral-nemotron,OriginalDataset/Model10-10,0.25,4,0,0,FAITHFUL,2.2
mistral-nemotron,OriginalDataset/Model10-10,0.3,4,0,0,FAITHFUL,2.5
mistral-nemotron,OriginalDataset/Model10-1,0.05,2,0,7,FAITHFUL_WITH_RESERVATIONS,1.75
mistral-nemotron,OriginalDataset/Model10-1,0.1,2,1,6,NOT_FAITHFUL,2.25
mistral-nemotron,OriginalDataset/Model10-1,0.15,2,1,6,NOT_FAITHFUL,2.75
mistral-nemotron,OriginalDataset/Model10-1,0.2,2,1,6,NOT_FAITHFUL,3.25
mistral-nemotron,OriginalDataset/Model10-1,0.25,2,2,5,NOT_FAITHFUL,3.75
mistral-nemotron,OriginalDataset/Model10-1,0.3,2,2,5,NOT_FAITHFUL,4.0
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,0.05,5,0,1,FAITHFUL_WITH_RESERVATIONS,1.167
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,0.1,5,0,1,FAITHFUL_WITH_RESERVATIONS,1.333
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,0.15,5,0,1,FAITHFUL_WITH_RESERVATIONS,1.333
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,0.2,5,0,1,FAITHFUL_WITH_RESERVATIONS,1.667
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,0.25,5,0,1,FAITHFUL_WITH_RESERVATIONS,1.667
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,0.3,5,1,0,NOT_FAITHFUL,2.0
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,0.05,2,0,3,FAITHFUL_WITH_RESERVATIONS,1.0
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,0.1,2,0,3,FAITHFUL_WITH_RESERVATIONS,1.0
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,0.15,2,0,3,FAITHFUL_WITH_RESERVATIONS,1.0
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,0.2,2,0,3,FAITHFUL_WITH_RESERVATIONS,1.0
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,0.25,2,0,3,FAITHFUL_WITH_RESERVATIONS,1.0
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,0.3,2,0,3,FAITHFUL_WITH_RESERVATIONS,1.0
nemotron-3-super-120b,OriginalDataset/Hospital,0.05,11,0,14,FAITHFUL_WITH_RESERVATIONS,1.143
nemotron-3-super-120b,OriginalDataset/Hospital,0.1,17,0,8,FAITHFUL_WITH_RESERVATIONS,1.857
nemotron-3-super-120b,OriginalDataset/Hospital,0.15,17,0,8,FAITHFUL_WITH_RESERVATIONS,2.429
nemotron-3-super-120b,OriginalDataset/Hospital,0.2,18,0,7,FAITHFUL_WITH_RESERVATIONS,2.643
nemotron-3-super-120b,OriginalDataset/Hospital,0.25,18,0,7,FAITHFUL_WITH_RESERVATIONS,2.714
nemotron-3-super-120b,OriginalDataset/Hospital,0.3,18,0,7,FAITHFUL_WITH_RESERVATIONS,2.714
nemotron-3-super-120b,OriginalDataset/HotelService,0.05,3,1,3,FAITHFUL_WITH_RESERVATIONS,0.583
nemotron-3-super-120b,OriginalDataset/HotelService,0.1,4,1,2,NOT_FAITHFUL,1.0
nemotron-3-super-120b,OriginalDataset/HotelService,0.15,4,1,2,NOT_FAITHFUL,1.083
nemotron-3-super-120b,OriginalDataset/HotelService,0.2,4,1,2,NOT_FAITHFUL,1.083
nemotron-3-super-120b,OriginalDataset/HotelService,0.25,4,1,2,NOT_FAITHFUL,1.083
nemotron-3-super-120b,OriginalDataset/HotelService,0.3,4,1,2,NOT_FAITHFUL,1.083
nemotron-3-super-120b,OriginalDataset/Hotel,0.05,5,0,7,FAITHFUL_WITH_RESERVATIONS,0.75
nemotron-3-super-120b,OriginalDataset/Hotel,0.1,6,1,5,NOT_FAITHFUL,0.917
nemotron-3-super-120b,OriginalDataset/Hotel,0.15,6,1,5,NOT_FAITHFUL,0.917
nemotron-3-super-120b,OriginalDataset/Hotel,0.2,6,1,5,NOT_FAITHFUL,0.917
nemotron-3-super-120b,OriginalDataset/Hotel,0.25,6,1,5,NOT_FAITHFUL,1.0
nemotron-3-super-120b,OriginalDataset/Hotel,0.3,6,1,5,NOT_FAITHFUL,1.0
nemotron-3-super-120b,OriginalDataset/Model1-4,0.05,0,6,10,NOT_FAITHFUL,0.857
nemotron-3-super-120b,OriginalDataset/Model1-4,0.1,0,8,8,NOT_FAITHFUL,1.143
nemotron-3-super-120b,OriginalDataset/Model1-4,0.15,0,8,8,NOT_FAITHFUL,1.571
nemotron-3-super-120b,OriginalDataset/Model1-4,0.2,0,8,8,NOT_FAITHFUL,1.571
nemotron-3-super-120b,OriginalDataset/Model1-4,0.25,0,8,8,NOT_FAITHFUL,1.571
nemotron-3-super-120b,OriginalDataset/Model1-4,0.3,0,8,8,NOT_FAITHFUL,1.571
nemotron-3-super-120b,OriginalDataset/Model10-10,0.05,0,0,9,FAITHFUL_WITH_RESERVATIONS,1.0
nemotron-3-super-120b,OriginalDataset/Model10-10,0.1,1,0,8,FAITHFUL_WITH_RESERVATIONS,2.1
nemotron-3-super-120b,OriginalDataset/Model10-10,0.15,2,0,7,FAITHFUL_WITH_RESERVATIONS,2.4
nemotron-3-super-120b,OriginalDataset/Model10-10,0.2,2,0,7,FAITHFUL_WITH_RESERVATIONS,2.7
nemotron-3-super-120b,OriginalDataset/Model10-10,0.25,3,0,6,FAITHFUL_WITH_RESERVATIONS,3.0
nemotron-3-super-120b,OriginalDataset/Model10-10,0.3,4,0,5,FAITHFUL_WITH_RESERVATIONS,3.2
nemotron-3-super-120b,OriginalDataset/Model10-1,0.05,0,3,0,NOT_FAITHFUL,1.75
nemotron-3-super-120b,OriginalDataset/Model10-1,0.1,0,3,0,NOT_FAITHFUL,2.25
nemotron-3-super-120b,OriginalDataset/Model10-1,0.15,0,3,0,NOT_FAITHFUL,2.5
