model,case,tau,SATISFIED,VIOLATED,UNRESOLVABLE,verdict
gpt-5.5,OriginalDataset/Model1-4,0.4,0,0,9,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Model1-4,0.45,0,0,9,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Model1-4,0.5,0,0,9,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Model10-10,0.2,4,1,5,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Model10-10,0.25,4,1,5,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Model10-10,0.3,4,1,5,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Model10-10,0.35,4,1,5,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Model10-10,0.4,4,1,5,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Model10-10,0.45,4,1,5,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Model10-10,0.5,4,0,6,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Model10-1,0.2,0,3,3,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Model10-1,0.25,0,3,3,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Model10-1,0.3,0,3,3,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Model10-1,0.35,0,3,3,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Model10-1,0.4,0,3,3,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Model10-1,0.45,0,2,4,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Model10-1,0.5,0,2,4,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.2,1,0,17,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.25,1,0,17,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.3,1,0,17,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.35,1,0,17,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.4,1,0,17,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.45,1,0,17,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.5,1,0,17,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/ClaimsCreation,0.2,1,0,1,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/ClaimsCreation,0.25,1,0,1,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/ClaimsCreation,0.3,1,0,1,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/ClaimsCreation,0.35,1,0,1,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/ClaimsCreation,0.4,1,0,1,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/ClaimsCreation,0.45,1,0,1,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/ClaimsCreation,0.5,1,0,1,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,0.2,0,0,0,FAITHFUL
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,0.25,0,0,0,FAITHFUL
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,0.3,0,0,0,FAITHFUL
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,0.35,0,0,0,FAITHFUL
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,0.4,0,0,0,FAITHFUL
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,0.45,0,0,0,FAITHFUL
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,0.5,0,0,0,FAITHFUL
gpt-oss-20b,OriginalDataset/Hospital,0.2,4,0,4,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Hospital,0.25,4,0,4,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Hospital,0.3,4,0,4,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Hospital,0.35,4,0,4,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Hospital,0.4,4,0,4,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Hospital,0.45,4,0,4,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Hospital,0.5,4,0,4,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/HotelService,0.2,5,4,0,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/HotelService,0.25,5,4,0,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/HotelService,0.3,5,3,1,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/HotelService,0.35,5,2,2,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/HotelService,0.4,5,1,3,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/HotelService,0.45,5,1,3,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/HotelService,0.5,5,0,4,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Hotel,0.2,3,1,3,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Hotel,0.25,3,1,3,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Hotel,0.3,3,1,3,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Hotel,0.35,3,0,4,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Hotel,0.4,3,0,4,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Hotel,0.45,3,0,4,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Hotel,0.5,3,0,4,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model1-2,0.2,5,0,9,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model1-2,0.25,5,0,9,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model1-2,0.3,5,0,9,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model1-2,0.35,5,0,9,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model1-2,0.4,5,0,9,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model1-2,0.45,5,0,9,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model1-2,0.5,5,0,9,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model1-4,0.2,0,2,11,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model1-4,0.25,0,2,11,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model1-4,0.3,0,2,11,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model1-4,0.35,0,2,11,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model1-4,0.4,0,1,12,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model1-4,0.45,0,0,13,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model1-4,0.5,0,0,13,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model10-10,0.2,0,0,2,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model10-10,0.25,0,0,2,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model10-10,0.3,0,0,2,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model10-10,0.35,0,0,2,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model10-10,0.4,0,0,2,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model10-10,0.45,0,0,2,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model10-10,0.5,0,0,2,FAITHFUL_WITH_RESERVATIONS
gpt-oss-20b,OriginalDataset/Model10-1,0.2,0,3,0,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/Model10-1,0.25,0,3,0,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/Model10-1,0.3,0,3,0,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/Model10-1,0.35,0,3,0,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/Model10-1,0.4,0,3,0,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/Model10-1,0.45,0,2,1,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/Model10-1,0.5,0,2,1,NOT_FAITHFUL
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.2,1,3,14,FAITHFUL_WITH_RESERVATIONS
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.25,1,3,14,FAITHFUL_WITH_RESERVATIONS
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.3,1,2,15,FAITHFUL_WITH_RESERVATIONS
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.35,1,1,16,FAITHFUL_WITH_RESERVATIONS
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.4,1,0,17,FAITHFUL_WITH_RESERVATIONS
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.45,1,0,17,FAITHFUL_WITH_RESERVATIONS
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.5,1,0,17,FAITHFUL_WITH_RESERVATIONS
llama-3.1-8b,OriginalDataset/ClaimsCreation,0.2,3,1,2,NOT_FAITHFUL
llama-3.1-8b,OriginalDataset/ClaimsCreation,0.25,3,1,2,NOT_FAITHFUL
llama-3.1-8b,OriginalDataset/ClaimsCreation,0.3,3,1,2,NOT_FAITHFUL
llama-3.1-8b,OriginalDataset/ClaimsCreation,0.35,3,1,2,NOT_FAITHFUL
llama-3.1-8b,OriginalDataset/ClaimsCreation,0.4,3,0,3,FAITHFUL_WITH_RESERVATIONS
llama-3.1-8b,OriginalDataset/ClaimsCreation,0.45,3,0,3,FAITHFUL_WITH_RESERVATIONS
llama-3.1-8b,OriginalDataset/ClaimsCreation,0.5,3,0,3,FAITHFUL_WITH_RESERVATIONS
llama-3.1-8b,OriginalDataset/Hospital,0.2,7,2,13,NOT_FAITHFUL
llama-3.1-8b,OriginalDataset/Hospital,0.25,7,2,13,NOT_FAITHFUL
llama-3.1-8b,OriginalDataset/Hospital,0.3,7,2,13,NOT_FAITHFUL
llama-3.1-8b,OriginalDataset/Hospital,0.35,7,2,13,NOT_FAITHFUL
llama-3.1-8b,OriginalDataset/Hospital,0.4,7,2,13,NOT_FAITHFUL
llama-3.1-8b,OriginalDataset/Hospital,0.45,7,0,15,FAITHFUL_WITH_RESERVATIONS
llama-3.1-8b,OriginalDataset/Hospital,0.5,7,0,15,FAITHFUL_WITH_RESERVATIONS
llama-3.1-8b,OriginalDataset/Hotel,0.2,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Hotel,0.25,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Hotel,0.3,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Hotel,0.35,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Hotel,0.4,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Hotel,0.45,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Hotel,0.5,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Model1-2,0.2,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Model1-2,0.25,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Model1-2,0.3,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Model1-2,0.35,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Model1-2,0.4,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Model1-2,0.45,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Model1-2,0.5,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Model10-1,0.2,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Model10-1,0.25,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Model10-1,0.3,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Model10-1,0.35,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Model10-1,0.4,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Model10-1,0.45,0,0,0,FAITHFUL
llama-3.1-8b,OriginalDataset/Model10-1,0.5,0,0,0,FAITHFUL
mistral-nemotron,OriginalDataset/BicycleManufacturing,0.2,8,0,10,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/BicycleManufacturing,0.25,8,0,10,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/BicycleManufacturing,0.3,8,0,10,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/BicycleManufacturing,0.35,8,0,10,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/BicycleManufacturing,0.4,8,0,10,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/BicycleManufacturing,0.45,8,0,10,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/BicycleManufacturing,0.5,8,0,10,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/ClaimsCreation,0.2,1,1,10,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/ClaimsCreation,0.25,1,1,10,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/ClaimsCreation,0.3,1,1,10,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/ClaimsCreation,0.35,1,1,10,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/ClaimsCreation,0.4,1,0,11,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/ClaimsCreation,0.45,1,0,11,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/ClaimsCreation,0.5,1,0,11,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Dispatch-of-goods,0.2,2,0,0,FAITHFUL
mistral-nemotron,OriginalDataset/Dispatch-of-goods,0.25,2,0,0,FAITHFUL
mistral-nemotron,OriginalDataset/Dispatch-of-goods,0.3,2,0,0,FAITHFUL
mistral-nemotron,OriginalDataset/Dispatch-of-goods,0.35,2,0,0,FAITHFUL
mistral-nemotron,OriginalDataset/Dispatch-of-goods,0.4,2,0,0,FAITHFUL
mistral-nemotron,OriginalDataset/Dispatch-of-goods,0.45,2,0,0,FAITHFUL
mistral-nemotron,OriginalDataset/Dispatch-of-goods,0.5,2,0,0,FAITHFUL
mistral-nemotron,OriginalDataset/Hospital,0.2,11,0,30,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Hospital,0.25,11,0,30,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Hospital,0.3,11,0,30,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Hospital,0.35,11,0,30,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Hospital,0.4,11,0,30,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Hospital,0.45,11,0,30,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Hospital,0.5,11,0,30,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/HotelService,0.2,10,1,2,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/HotelService,0.25,10,1,2,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/HotelService,0.3,10,1,2,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/HotelService,0.35,10,1,2,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/HotelService,0.4,10,0,3,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/HotelService,0.45,10,0,3,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/HotelService,0.5,10,0,3,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Hotel,0.2,3,2,8,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Hotel,0.25,3,2,8,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Hotel,0.3,3,1,9,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Hotel,0.35,3,1,9,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Hotel,0.4,3,0,10,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Hotel,0.45,3,0,10,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Hotel,0.5,3,0,10,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Model1-2,0.2,3,5,13,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Model1-2,0.25,3,5,13,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Model1-2,0.3,3,5,13,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Model1-2,0.35,3,5,13,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Model1-2,0.4,3,5,13,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Model1-2,0.45,3,3,15,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Model1-2,0.5,3,0,18,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Model1-4,0.2,2,1,10,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Model1-4,0.25,2,1,10,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Model1-4,0.3,2,1,10,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Model1-4,0.35,2,1,10,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Model1-4,0.4,2,1,10,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Model1-4,0.45,2,0,11,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Model1-4,0.5,2,0,11,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Model10-10,0.2,2,1,1,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Model10-10,0.25,2,1,1,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Model10-10,0.3,2,0,2,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Model10-10,0.35,2,0,2,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Model10-10,0.4,2,0,2,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Model10-10,0.45,2,0,2,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Model10-10,0.5,2,0,2,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Model10-1,0.2,2,1,6,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Model10-1,0.25,2,1,6,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Model10-1,0.3,2,0,7,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Model10-1,0.35,2,0,7,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Model10-1,0.4,2,0,7,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Model10-1,0.45,2,0,7,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/Model10-1,0.5,2,0,7,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,0.2,5,0,1,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,0.25,5,0,1,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,0.3,5,0,1,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,0.35,5,0,1,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,0.4,5,0,1,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,0.45,5,0,1,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,0.5,5,0,1,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,0.2,2,2,1,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,0.25,2,2,1,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,0.3,2,2,1,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,0.35,2,0,3,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,0.4,2,0,3,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,0.45,2,0,3,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,0.5,2,0,3,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Hospital,0.2,11,1,13,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Hospital,0.25,11,1,13,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Hospital,0.3,11,0,14,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Hospital,0.35,11,0,14,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Hospital,0.4,11,0,14,FAITHFUL_WITH_RESERVATIONS
nemotron-3-super-120b,OriginalDataset/Hospital,0.45,11,0,14,FAITHFUL_WITH_RESERVATIONS
