model,case,regime,SATISFIED,VIOLATED,UNRESOLVABLE,verdict,avg_matches_per_activity
gpt-oss-20b,OriginalDataset/BicycleManufacturing,global_assignment,4,0,14,FAITHFUL_WITH_RESERVATIONS,1.556
gpt-oss-20b,OriginalDataset/ClaimsCreation,current_margin,1,0,1,FAITHFUL_WITH_RESERVATIONS,0.5
gpt-oss-20b,OriginalDataset/ClaimsCreation,global_assignment,1,1,0,NOT_FAITHFUL,0.667
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,current_margin,0,0,0,FAITHFUL,0.857
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,global_assignment,0,0,0,FAITHFUL,0.714
gpt-oss-20b,OriginalDataset/Hospital,current_margin,4,0,4,FAITHFUL_WITH_RESERVATIONS,1.286
gpt-oss-20b,OriginalDataset/Hospital,global_assignment,0,2,6,NOT_FAITHFUL,0.929
gpt-oss-20b,OriginalDataset/HotelService,current_margin,5,2,2,NOT_FAITHFUL,0.833
gpt-oss-20b,OriginalDataset/HotelService,global_assignment,1,5,3,NOT_FAITHFUL,0.75
gpt-oss-20b,OriginalDataset/Hotel,current_margin,3,0,4,FAITHFUL_WITH_RESERVATIONS,0.667
gpt-oss-20b,OriginalDataset/Hotel,global_assignment,2,2,3,NOT_FAITHFUL,0.667
gpt-oss-20b,OriginalDataset/Model1-2,current_margin,5,0,9,FAITHFUL_WITH_RESERVATIONS,0.875
gpt-oss-20b,OriginalDataset/Model1-2,global_assignment,5,2,7,NOT_FAITHFUL,1.375
gpt-oss-20b,OriginalDataset/Model1-4,current_margin,0,2,11,FAITHFUL_WITH_RESERVATIONS,0.857
gpt-oss-20b,OriginalDataset/Model1-4,global_assignment,0,5,8,NOT_FAITHFUL,1.571
gpt-oss-20b,OriginalDataset/Model10-10,current_margin,0,0,2,FAITHFUL_WITH_RESERVATIONS,0.8
gpt-oss-20b,OriginalDataset/Model10-10,global_assignment,0,0,2,FAITHFUL_WITH_RESERVATIONS,0.2
gpt-oss-20b,OriginalDataset/Model10-1,current_margin,0,3,0,NOT_FAITHFUL,1.75
gpt-oss-20b,OriginalDataset/Model10-1,global_assignment,0,3,0,NOT_FAITHFUL,1.0
llama-3.1-8b,OriginalDataset/BicycleManufacturing,current_margin,1,1,16,FAITHFUL_WITH_RESERVATIONS,1.556
llama-3.1-8b,OriginalDataset/BicycleManufacturing,global_assignment,6,1,11,NOT_FAITHFUL,1.556
llama-3.1-8b,OriginalDataset/ClaimsCreation,current_margin,3,1,2,NOT_FAITHFUL,1.333
llama-3.1-8b,OriginalDataset/ClaimsCreation,global_assignment,3,2,1,NOT_FAITHFUL,1.167
llama-3.1-8b,OriginalDataset/Hospital,current_margin,7,2,13,NOT_FAITHFUL,1.357
llama-3.1-8b,OriginalDataset/Hospital,global_assignment,3,7,12,FAITHFUL_WITH_RESERVATIONS,1.071
llama-3.1-8b,OriginalDataset/Hotel,current_margin,0,0,0,FAITHFUL,0.333
llama-3.1-8b,OriginalDataset/Hotel,global_assignment,0,0,0,FAITHFUL,0.333
llama-3.1-8b,OriginalDataset/Model1-2,current_margin,0,0,0,FAITHFUL,1.375
llama-3.1-8b,OriginalDataset/Model1-2,global_assignment,0,0,0,FAITHFUL,1.625
llama-3.1-8b,OriginalDataset/Model10-1,current_margin,0,0,0,FAITHFUL,1.0
llama-3.1-8b,OriginalDataset/Model10-1,global_assignment,0,0,0,FAITHFUL,0.75
mistral-nemotron,OriginalDataset/BicycleManufacturing,current_margin,8,0,10,FAITHFUL_WITH_RESERVATIONS,1.778
mistral-nemotron,OriginalDataset/BicycleManufacturing,global_assignment,9,0,9,FAITHFUL_WITH_RESERVATIONS,1.667
mistral-nemotron,OriginalDataset/ClaimsCreation,current_margin,1,1,10,FAITHFUL_WITH_RESERVATIONS,1.167
mistral-nemotron,OriginalDataset/ClaimsCreation,global_assignment,5,7,0,NOT_FAITHFUL,1.833
mistral-nemotron,OriginalDataset/Dispatch-of-goods,current_margin,2,0,0,FAITHFUL,2.0
mistral-nemotron,OriginalDataset/Dispatch-of-goods,global_assignment,2,0,0,FAITHFUL,1.0
mistral-nemotron,OriginalDataset/Hospital,current_margin,11,0,30,FAITHFUL_WITH_RESERVATIONS,1.357
mistral-nemotron,OriginalDataset/Hospital,global_assignment,12,6,23,NOT_FAITHFUL,1.429
mistral-nemotron,OriginalDataset/HotelService,current_margin,10,1,2,NOT_FAITHFUL,1.333
mistral-nemotron,OriginalDataset/HotelService,global_assignment,1,9,3,NOT_FAITHFUL,1.0
mistral-nemotron,OriginalDataset/Hotel,current_margin,3,1,9,NOT_FAITHFUL,1.0
mistral-nemotron,OriginalDataset/Hotel,global_assignment,4,2,7,NOT_FAITHFUL,0.917
mistral-nemotron,OriginalDataset/Model1-2,current_margin,3,5,13,NOT_FAITHFUL,1.125
mistral-nemotron,OriginalDataset/Model1-2,global_assignment,4,11,6,NOT_FAITHFUL,1.75
mistral-nemotron,OriginalDataset/Model1-4,current_margin,2,1,10,NOT_FAITHFUL,1.0
mistral-nemotron,OriginalDataset/Model1-4,global_assignment,2,4,7,NOT_FAITHFUL,1.714
mistral-nemotron,OriginalDataset/Model10-10,current_margin,2,0,2,FAITHFUL_WITH_RESERVATIONS,0.9
mistral-nemotron,OriginalDataset/Model10-10,global_assignment,1,3,0,NOT_FAITHFUL,0.5
mistral-nemotron,OriginalDataset/Model10-1,current_margin,2,0,7,FAITHFUL_WITH_RESERVATIONS,1.75
mistral-nemotron,OriginalDataset/Model10-1,global_assignment,0,4,5,NOT_FAITHFUL,1.25
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,current_margin,5,0,1,FAITHFUL_WITH_RESERVATIONS,1.167
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,global_assignment,2,4,0,NOT_FAITHFUL,1.333
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,current_margin,2,0,3,FAITHFUL_WITH_RESERVATIONS,1.0
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,global_assignment,2,0,3,FAITHFUL_WITH_RESERVATIONS,0.714
nemotron-3-super-120b,OriginalDataset/Hospital,current_margin,11,0,14,FAITHFUL_WITH_RESERVATIONS,1.143
nemotron-3-super-120b,OriginalDataset/Hospital,global_assignment,11,2,12,NOT_FAITHFUL,1.143
nemotron-3-super-120b,OriginalDataset/HotelService,current_margin,3,1,3,FAITHFUL_WITH_RESERVATIONS,0.583
nemotron-3-super-120b,OriginalDataset/HotelService,global_assignment,2,2,3,NOT_FAITHFUL,0.583
nemotron-3-super-120b,OriginalDataset/Hotel,current_margin,5,0,7,FAITHFUL_WITH_RESERVATIONS,0.75
nemotron-3-super-120b,OriginalDataset/Hotel,global_assignment,5,2,5,NOT_FAITHFUL,0.75
nemotron-3-super-120b,OriginalDataset/Model1-4,current_margin,0,6,10,NOT_FAITHFUL,0.857
nemotron-3-super-120b,OriginalDataset/Model1-4,global_assignment,0,8,8,NOT_FAITHFUL,1.429
nemotron-3-super-120b,OriginalDataset/Model10-10,current_margin,0,0,9,FAITHFUL_WITH_RESERVATIONS,1.0
nemotron-3-super-120b,OriginalDataset/Model10-10,global_assignment,2,7,0,NOT_FAITHFUL,1.0
nemotron-3-super-120b,OriginalDataset/Model10-1,current_margin,0,3,0,NOT_FAITHFUL,1.75
nemotron-3-super-120b,OriginalDataset/Model10-1,global_assignment,0,3,0,NOT_FAITHFUL,1.0
