model,case,activity_id,node_type,matched_at_least_once
gpt-5.5,OriginalDataset/Model1-2,Task_1fitgv2,Task,True
gpt-5.5,OriginalDataset/Model1-2,Task_056wtxd,Task,True
gpt-5.5,OriginalDataset/Model1-2,Task_1jco6af,Task,True
gpt-5.5,OriginalDataset/Model1-2,Task_0y0bk1x,Task,True
gpt-5.5,OriginalDataset/Model1-2,Task_0yjzdx3,Task,True
gpt-5.5,OriginalDataset/Model1-2,Task_0lhwwbj,Task,True
gpt-5.5,OriginalDataset/Model1-2,Task_1kw3asu,Task,True
gpt-5.5,OriginalDataset/Model1-4,Task_5,Task,True
gpt-5.5,OriginalDataset/Model1-4,Task_6,Task,True
gpt-5.5,OriginalDataset/Model1-4,Task_3,Task,False
gpt-5.5,OriginalDataset/Model1-4,Task_1,Task,True
gpt-5.5,OriginalDataset/Model1-4,Task_4,Task,True
gpt-5.5,OriginalDataset/Model1-4,IntermediateMessageEventCatching_1,IntermediateCatchEvent,False
gpt-5.5,OriginalDataset/Model1-4,Task_2,Task,True
gpt-5.5,OriginalDataset/Model10-10,Task_5,Task,True
gpt-5.5,OriginalDataset/Model10-10,Task_6,Task,True
gpt-5.5,OriginalDataset/Model10-10,Task_7,Task,True
gpt-5.5,OriginalDataset/Model10-10,Task_3,Task,True
gpt-5.5,OriginalDataset/Model10-10,Task_1,Task,True
gpt-5.5,OriginalDataset/Model10-10,Task_4,Task,True
gpt-5.5,OriginalDataset/Model10-10,Task_9,Task,True
gpt-5.5,OriginalDataset/Model10-10,Task_8,Task,True
gpt-5.5,OriginalDataset/Model10-10,Task_2,Task,True
gpt-5.5,OriginalDataset/Model10-10,Task_0,Task,True
gpt-5.5,OriginalDataset/Model10-1,Task_2,Task,True
gpt-5.5,OriginalDataset/Model10-1,Task_3,Task,True
gpt-5.5,OriginalDataset/Model10-1,Task_1,Task,False
gpt-5.5,OriginalDataset/Model10-1,Task_0,Task,True
gpt-oss-20b,OriginalDataset/BicycleManufacturing,Task_5,Task,True
gpt-oss-20b,OriginalDataset/BicycleManufacturing,Task_7,Task,True
gpt-oss-20b,OriginalDataset/BicycleManufacturing,Task_6,Task,True
gpt-oss-20b,OriginalDataset/BicycleManufacturing,Task_1,Task,True
gpt-oss-20b,OriginalDataset/BicycleManufacturing,Task_8,Task,True
gpt-oss-20b,OriginalDataset/BicycleManufacturing,Task_4,Task,True
gpt-oss-20b,OriginalDataset/BicycleManufacturing,Task_2,Task,True
gpt-oss-20b,OriginalDataset/BicycleManufacturing,Task_3,Task,True
gpt-oss-20b,OriginalDataset/BicycleManufacturing,Task_0,Task,True
gpt-oss-20b,OriginalDataset/ClaimsCreation,Task_2,Task,True
gpt-oss-20b,OriginalDataset/ClaimsCreation,Task_3,Task,True
gpt-oss-20b,OriginalDataset/ClaimsCreation,Task_0,Task,False
gpt-oss-20b,OriginalDataset/ClaimsCreation,Task_1,Task,True
gpt-oss-20b,OriginalDataset/ClaimsCreation,Task_4,Task,False
gpt-oss-20b,OriginalDataset/ClaimsCreation,Task_5,Task,False
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,Task_0jsoxba,Task,True
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,Task_0sl26uo,Task,True
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,Task_0e6hvnj,Task,False
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,Task_0s79ile,Task,False
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,Task_0vaxgaa,Task,True
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,Task_12j0pib,Task,True
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,Task_05ftug5,Task,True
gpt-oss-20b,OriginalDataset/Hospital,Task1,Task,True
gpt-oss-20b,OriginalDataset/Hospital,Task4,Task,True
gpt-oss-20b,OriginalDataset/Hospital,Task2,Task,True
gpt-oss-20b,OriginalDataset/Hospital,Task8,Task,False
gpt-oss-20b,OriginalDataset/Hospital,Task10,Task,True
gpt-oss-20b,OriginalDataset/Hospital,Task6,Task,True
gpt-oss-20b,OriginalDataset/Hospital,Task7,Task,True
gpt-oss-20b,OriginalDataset/Hospital,Task11,Task,True
gpt-oss-20b,OriginalDataset/Hospital,Task5,Task,False
gpt-oss-20b,OriginalDataset/Hospital,Task3,Task,False
gpt-oss-20b,OriginalDataset/Hospital,Task9,Task,True
gpt-oss-20b,OriginalDataset/Hospital,Task12,Task,True
gpt-oss-20b,OriginalDataset/Hospital,Task13,Task,True
gpt-oss-20b,OriginalDataset/Hospital,Task14,Task,False
gpt-oss-20b,OriginalDataset/HotelService,Task_5,Task,True
gpt-oss-20b,OriginalDataset/HotelService,Task_6,Task,True
gpt-oss-20b,OriginalDataset/HotelService,Task_1,Task,True
gpt-oss-20b,OriginalDataset/HotelService,Task_4,Task,True
gpt-oss-20b,OriginalDataset/HotelService,Task_9,Task,False
gpt-oss-20b,OriginalDataset/HotelService,Task_7,Task,True
gpt-oss-20b,OriginalDataset/HotelService,Task_3,Task,True
gpt-oss-20b,OriginalDataset/HotelService,Task_8,Task,False
gpt-oss-20b,OriginalDataset/HotelService,Task_10,Task,True
gpt-oss-20b,OriginalDataset/HotelService,Task_11,Task,False
gpt-oss-20b,OriginalDataset/HotelService,Task_2,Task,True
gpt-oss-20b,OriginalDataset/HotelService,Task_0,Task,True
gpt-oss-20b,OriginalDataset/Hotel,Task_0mymppr,Task,True
gpt-oss-20b,OriginalDataset/Hotel,Task_12rew8t,Task,True
gpt-oss-20b,OriginalDataset/Hotel,Task_1yfp1gq,Task,False
gpt-oss-20b,OriginalDataset/Hotel,Task_1y44uft,Task,False
gpt-oss-20b,OriginalDataset/Hotel,Task_0c685de,Task,False
gpt-oss-20b,OriginalDataset/Hotel,Task_0h8ljxx,Task,True
gpt-oss-20b,OriginalDataset/Hotel,Task_0vkxpbk,Task,True
gpt-oss-20b,OriginalDataset/Hotel,Task_19oznyv,Task,False
gpt-oss-20b,OriginalDataset/Hotel,Task_1esbsdw,Task,False
gpt-oss-20b,OriginalDataset/Hotel,Task_16m28ah,Task,True
gpt-oss-20b,OriginalDataset/Hotel,Task_05jr8ik,Task,False
gpt-oss-20b,OriginalDataset/Hotel,Task_0z390gs,Task,True
gpt-oss-20b,OriginalDataset/Model1-2,Task_025ix5y,Task,True
gpt-oss-20b,OriginalDataset/Model1-2,Task_1fitgv2,Task,True
gpt-oss-20b,OriginalDataset/Model1-2,Task_056wtxd,Task,True
gpt-oss-20b,OriginalDataset/Model1-2,Task_1jco6af,Task,True
gpt-oss-20b,OriginalDataset/Model1-2,Task_0y0bk1x,Task,False
gpt-oss-20b,OriginalDataset/Model1-2,Task_0yjzdx3,Task,True
gpt-oss-20b,OriginalDataset/Model1-2,Task_0lhwwbj,Task,True
gpt-oss-20b,OriginalDataset/Model1-2,Task_1kw3asu,Task,False
gpt-oss-20b,OriginalDataset/Model1-4,Task_5,Task,True
gpt-oss-20b,OriginalDataset/Model1-4,Task_6,Task,True
gpt-oss-20b,OriginalDataset/Model1-4,Task_3,Task,False
gpt-oss-20b,OriginalDataset/Model1-4,Task_1,Task,True
gpt-oss-20b,OriginalDataset/Model1-4,Task_4,Task,True
gpt-oss-20b,OriginalDataset/Model1-4,IntermediateMessageEventCatching_1,IntermediateCatchEvent,False
gpt-oss-20b,OriginalDataset/Model1-4,Task_2,Task,True
gpt-oss-20b,OriginalDataset/Model10-10,Task_5,Task,True
gpt-oss-20b,OriginalDataset/Model10-10,Task_6,Task,True
gpt-oss-20b,OriginalDataset/Model10-10,Task_7,Task,True
gpt-oss-20b,OriginalDataset/Model10-10,Task_3,Task,True
gpt-oss-20b,OriginalDataset/Model10-10,Task_1,Task,True
gpt-oss-20b,OriginalDataset/Model10-10,Task_4,Task,False
gpt-oss-20b,OriginalDataset/Model10-10,Task_9,Task,True
gpt-oss-20b,OriginalDataset/Model10-10,Task_8,Task,False
gpt-oss-20b,OriginalDataset/Model10-10,Task_2,Task,True
gpt-oss-20b,OriginalDataset/Model10-10,Task_0,Task,True
gpt-oss-20b,OriginalDataset/Model10-1,Task_2,Task,True
gpt-oss-20b,OriginalDataset/Model10-1,Task_3,Task,True
gpt-oss-20b,OriginalDataset/Model10-1,Task_1,Task,False
gpt-oss-20b,OriginalDataset/Model10-1,Task_0,Task,True
llama-3.1-8b,OriginalDataset/BicycleManufacturing,Task_5,Task,True
llama-3.1-8b,OriginalDataset/BicycleManufacturing,Task_7,Task,True
llama-3.1-8b,OriginalDataset/BicycleManufacturing,Task_6,Task,True
llama-3.1-8b,OriginalDataset/BicycleManufacturing,Task_8,Task,True
llama-3.1-8b,OriginalDataset/BicycleManufacturing,Task_1,Task,True
llama-3.1-8b,OriginalDataset/BicycleManufacturing,Task_4,Task,True
llama-3.1-8b,OriginalDataset/BicycleManufacturing,Task_2,Task,True
llama-3.1-8b,OriginalDataset/BicycleManufacturing,Task_3,Task,True
llama-3.1-8b,OriginalDataset/BicycleManufacturing,Task_0,Task,True
llama-3.1-8b,OriginalDataset/ClaimsCreation,Task_2,Task,True
llama-3.1-8b,OriginalDataset/ClaimsCreation,Task_3,Task,True
llama-3.1-8b,OriginalDataset/ClaimsCreation,Task_0,Task,True
llama-3.1-8b,OriginalDataset/ClaimsCreation,Task_1,Task,True
llama-3.1-8b,OriginalDataset/ClaimsCreation,Task_4,Task,True
llama-3.1-8b,OriginalDataset/ClaimsCreation,Task_5,Task,True
llama-3.1-8b,OriginalDataset/Hospital,Task1,Task,True
llama-3.1-8b,OriginalDataset/Hospital,Task4,Task,True
llama-3.1-8b,OriginalDataset/Hospital,Task2,Task,True
llama-3.1-8b,OriginalDataset/Hospital,Task8,Task,True
llama-3.1-8b,OriginalDataset/Hospital,Task10,Task,True
llama-3.1-8b,OriginalDataset/Hospital,Task6,Task,True
llama-3.1-8b,OriginalDataset/Hospital,Task7,Task,True
llama-3.1-8b,OriginalDataset/Hospital,Task11,Task,True
llama-3.1-8b,OriginalDataset/Hospital,Task5,Task,True
llama-3.1-8b,OriginalDataset/Hospital,Task3,Task,False
llama-3.1-8b,OriginalDataset/Hospital,Task9,Task,True
llama-3.1-8b,OriginalDataset/Hospital,Task12,Task,True
llama-3.1-8b,OriginalDataset/Hospital,Task13,Task,True
llama-3.1-8b,OriginalDataset/Hospital,Task14,Task,False
llama-3.1-8b,OriginalDataset/Hotel,Task_0mymppr,Task,True
llama-3.1-8b,OriginalDataset/Hotel,Task_12rew8t,Task,False
llama-3.1-8b,OriginalDataset/Hotel,Task_1yfp1gq,Task,False
llama-3.1-8b,OriginalDataset/Hotel,Task_0c685de,Task,False
llama-3.1-8b,OriginalDataset/Hotel,Task_1y44uft,Task,False
llama-3.1-8b,OriginalDataset/Hotel,Task_0h8ljxx,Task,False
llama-3.1-8b,OriginalDataset/Hotel,Task_0vkxpbk,Task,True
llama-3.1-8b,OriginalDataset/Hotel,Task_19oznyv,Task,False
llama-3.1-8b,OriginalDataset/Hotel,Task_1esbsdw,Task,False
llama-3.1-8b,OriginalDataset/Hotel,Task_16m28ah,Task,True
llama-3.1-8b,OriginalDataset/Hotel,Task_05jr8ik,Task,False
llama-3.1-8b,OriginalDataset/Hotel,Task_0z390gs,Task,True
llama-3.1-8b,OriginalDataset/Model1-2,Task_025ix5y,Task,True
llama-3.1-8b,OriginalDataset/Model1-2,Task_1fitgv2,Task,True
llama-3.1-8b,OriginalDataset/Model1-2,Task_056wtxd,Task,True
llama-3.1-8b,OriginalDataset/Model1-2,Task_1jco6af,Task,True
llama-3.1-8b,OriginalDataset/Model1-2,Task_0y0bk1x,Task,False
llama-3.1-8b,OriginalDataset/Model1-2,Task_0yjzdx3,Task,True
llama-3.1-8b,OriginalDataset/Model1-2,Task_0lhwwbj,Task,True
llama-3.1-8b,OriginalDataset/Model1-2,Task_1kw3asu,Task,False
llama-3.1-8b,OriginalDataset/Model10-1,Task_2,Task,True
llama-3.1-8b,OriginalDataset/Model10-1,Task_3,Task,True
llama-3.1-8b,OriginalDataset/Model10-1,Task_1,Task,False
llama-3.1-8b,OriginalDataset/Model10-1,Task_0,Task,True
mistral-nemotron,OriginalDataset/BicycleManufacturing,Task_5,Task,True
mistral-nemotron,OriginalDataset/BicycleManufacturing,Task_6,Task,True
mistral-nemotron,OriginalDataset/BicycleManufacturing,Task_7,Task,True
mistral-nemotron,OriginalDataset/BicycleManufacturing,Task_8,Task,True
mistral-nemotron,OriginalDataset/BicycleManufacturing,Task_1,Task,True
mistral-nemotron,OriginalDataset/BicycleManufacturing,Task_4,Task,True
mistral-nemotron,OriginalDataset/BicycleManufacturing,Task_2,Task,True
mistral-nemotron,OriginalDataset/BicycleManufacturing,Task_3,Task,False
mistral-nemotron,OriginalDataset/BicycleManufacturing,Task_0,Task,True
mistral-nemotron,OriginalDataset/ClaimsCreation,Task_2,Task,True
mistral-nemotron,OriginalDataset/ClaimsCreation,Task_3,Task,True
mistral-nemotron,OriginalDataset/ClaimsCreation,Task_0,Task,True
mistral-nemotron,OriginalDataset/ClaimsCreation,Task_1,Task,True
mistral-nemotron,OriginalDataset/ClaimsCreation,Task_4,Task,True
mistral-nemotron,OriginalDataset/ClaimsCreation,Task_5,Task,True
mistral-nemotron,OriginalDataset/Dispatch-of-goods,Task_0jsoxba,Task,True
mistral-nemotron,OriginalDataset/Dispatch-of-goods,Task_0sl26uo,Task,True
mistral-nemotron,OriginalDataset/Dispatch-of-goods,Task_0e6hvnj,Task,True
mistral-nemotron,OriginalDataset/Dispatch-of-goods,Task_0s79ile,Task,True
mistral-nemotron,OriginalDataset/Dispatch-of-goods,Task_0vaxgaa,Task,True
mistral-nemotron,OriginalDataset/Dispatch-of-goods,Task_12j0pib,Task,True
mistral-nemotron,OriginalDataset/Dispatch-of-goods,Task_05ftug5,Task,True
mistral-nemotron,OriginalDataset/Hospital,Task1,Task,True
mistral-nemotron,OriginalDataset/Hospital,Task4,Task,True
mistral-nemotron,OriginalDataset/Hospital,Task2,Task,True
mistral-nemotron,OriginalDataset/Hospital,Task8,Task,True
mistral-nemotron,OriginalDataset/Hospital,Task10,Task,True
mistral-nemotron,OriginalDataset/Hospital,Task6,Task,True
mistral-nemotron,OriginalDataset/Hospital,Task7,Task,True
mistral-nemotron,OriginalDataset/Hospital,Task11,Task,True
mistral-nemotron,OriginalDataset/Hospital,Task5,Task,True
mistral-nemotron,OriginalDataset/Hospital,Task3,Task,False
mistral-nemotron,OriginalDataset/Hospital,Task9,Task,True
mistral-nemotron,OriginalDataset/Hospital,Task12,Task,True
mistral-nemotron,OriginalDataset/Hospital,Task13,Task,True
mistral-nemotron,OriginalDataset/Hospital,Task14,Task,True
mistral-nemotron,OriginalDataset/HotelService,Task_5,Task,True
mistral-nemotron,OriginalDataset/HotelService,Task_6,Task,True
mistral-nemotron,OriginalDataset/HotelService,Task_1,Task,True
mistral-nemotron,OriginalDataset/HotelService,Task_4,Task,True
mistral-nemotron,OriginalDataset/HotelService,Task_9,Task,True
mistral-nemotron,OriginalDataset/HotelService,Task_7,Task,False
mistral-nemotron,OriginalDataset/HotelService,Task_3,Task,True
mistral-nemotron,OriginalDataset/HotelService,Task_8,Task,False
mistral-nemotron,OriginalDataset/HotelService,Task_11,Task,True
mistral-nemotron,OriginalDataset/HotelService,Task_10,Task,True
mistral-nemotron,OriginalDataset/HotelService,Task_2,Task,True
mistral-nemotron,OriginalDataset/HotelService,Task_0,Task,True
mistral-nemotron,OriginalDataset/Hotel,Task_0mymppr,Task,True
mistral-nemotron,OriginalDataset/Hotel,Task_12rew8t,Task,False
mistral-nemotron,OriginalDataset/Hotel,Task_1yfp1gq,Task,True
mistral-nemotron,OriginalDataset/Hotel,Task_0c685de,Task,True
mistral-nemotron,OriginalDataset/Hotel,Task_1y44uft,Task,True
mistral-nemotron,OriginalDataset/Hotel,Task_0h8ljxx,Task,True
mistral-nemotron,OriginalDataset/Hotel,Task_0vkxpbk,Task,True
mistral-nemotron,OriginalDataset/Hotel,Task_19oznyv,Task,True
mistral-nemotron,OriginalDataset/Hotel,Task_1esbsdw,Task,True
mistral-nemotron,OriginalDataset/Hotel,Task_16m28ah,Task,True
mistral-nemotron,OriginalDataset/Hotel,Task_05jr8ik,Task,False
mistral-nemotron,OriginalDataset/Hotel,Task_0z390gs,Task,True
mistral-nemotron,OriginalDataset/Model1-2,Task_025ix5y,Task,True
mistral-nemotron,OriginalDataset/Model1-2,Task_1fitgv2,Task,True
mistral-nemotron,OriginalDataset/Model1-2,Task_056wtxd,Task,True
mistral-nemotron,OriginalDataset/Model1-2,Task_1jco6af,Task,True
mistral-nemotron,OriginalDataset/Model1-2,Task_0y0bk1x,Task,False
mistral-nemotron,OriginalDataset/Model1-2,Task_0yjzdx3,Task,True
mistral-nemotron,OriginalDataset/Model1-2,Task_0lhwwbj,Task,True
mistral-nemotron,OriginalDataset/Model1-2,Task_1kw3asu,Task,False
mistral-nemotron,OriginalDataset/Model1-4,Task_5,Task,True
mistral-nemotron,OriginalDataset/Model1-4,Task_6,Task,True
mistral-nemotron,OriginalDataset/Model1-4,Task_3,Task,False
mistral-nemotron,OriginalDataset/Model1-4,Task_1,Task,True
mistral-nemotron,OriginalDataset/Model1-4,Task_4,Task,True
mistral-nemotron,OriginalDataset/Model1-4,IntermediateMessageEventCatching_1,IntermediateCatchEvent,True
mistral-nemotron,OriginalDataset/Model1-4,Task_2,Task,True
mistral-nemotron,OriginalDataset/Model10-10,Task_5,Task,True
mistral-nemotron,OriginalDataset/Model10-10,Task_6,Task,True
mistral-nemotron,OriginalDataset/Model10-10,Task_7,Task,True
mistral-nemotron,OriginalDataset/Model10-10,Task_3,Task,True
mistral-nemotron,OriginalDataset/Model10-10,Task_1,Task,True
mistral-nemotron,OriginalDataset/Model10-10,Task_4,Task,False
mistral-nemotron,OriginalDataset/Model10-10,Task_9,Task,True
mistral-nemotron,OriginalDataset/Model10-10,Task_8,Task,False
mistral-nemotron,OriginalDataset/Model10-10,Task_2,Task,False
mistral-nemotron,OriginalDataset/Model10-10,Task_0,Task,True
mistral-nemotron,OriginalDataset/Model10-1,Task_2,Task,True
mistral-nemotron,OriginalDataset/Model10-1,Task_3,Task,True
mistral-nemotron,OriginalDataset/Model10-1,Task_1,Task,True
mistral-nemotron,OriginalDataset/Model10-1,Task_0,Task,True
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,Task_2,Task,True
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,Task_3,Task,True
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,Task_0,Task,True
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,Task_1,Task,True
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,Task_4,Task,True
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,Task_5,Task,True
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,Task_0jsoxba,Task,True
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,Task_0sl26uo,Task,True
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,Task_0e6hvnj,Task,False
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,Task_0s79ile,Task,False
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,Task_0vaxgaa,Task,True
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,Task_12j0pib,Task,True
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,Task_05ftug5,Task,True
nemotron-3-super-120b,OriginalDataset/Hospital,Task1,Task,True
nemotron-3-super-120b,OriginalDataset/Hospital,Task4,Task,True
nemotron-3-super-120b,OriginalDataset/Hospital,Task2,Task,True
nemotron-3-super-120b,OriginalDataset/Hospital,Task8,Task,False
nemotron-3-super-120b,OriginalDataset/Hospital,Task10,Task,True
nemotron-3-super-120b,OriginalDataset/Hospital,Task6,Task,True
nemotron-3-super-120b,OriginalDataset/Hospital,Task7,Task,True
nemotron-3-super-120b,OriginalDataset/Hospital,Task11,Task,True
nemotron-3-super-120b,OriginalDataset/Hospital,Task5,Task,True
nemotron-3-super-120b,OriginalDataset/Hospital,Task3,Task,False
nemotron-3-super-120b,OriginalDataset/Hospital,Task9,Task,True
nemotron-3-super-120b,OriginalDataset/Hospital,Task12,Task,True
nemotron-3-super-120b,OriginalDataset/Hospital,Task13,Task,True
nemotron-3-super-120b,OriginalDataset/Hospital,Task14,Task,True
nemotron-3-super-120b,OriginalDataset/HotelService,Task_5,Task,True
nemotron-3-super-120b,OriginalDataset/HotelService,Task_6,Task,True
nemotron-3-super-120b,OriginalDataset/HotelService,Task_1,Task,True
nemotron-3-super-120b,OriginalDataset/HotelService,Task_4,Task,False
nemotron-3-super-120b,OriginalDataset/HotelService,Task_9,Task,False
nemotron-3-super-120b,OriginalDataset/HotelService,Task_3,Task,True
nemotron-3-super-120b,OriginalDataset/HotelService,Task_7,Task,False
nemotron-3-super-120b,OriginalDataset/HotelService,Task_8,Task,False
nemotron-3-super-120b,OriginalDataset/HotelService,Task_10,Task,True
nemotron-3-super-120b,OriginalDataset/HotelService,Task_11,Task,False
nemotron-3-super-120b,OriginalDataset/HotelService,Task_2,Task,True
nemotron-3-super-120b,OriginalDataset/HotelService,Task_0,Task,False
nemotron-3-super-120b,OriginalDataset/Hotel,Task_0mymppr,Task,True
nemotron-3-super-120b,OriginalDataset/Hotel,Task_12rew8t,Task,False
nemotron-3-super-120b,OriginalDataset/Hotel,Task_1yfp1gq,Task,True
nemotron-3-super-120b,OriginalDataset/Hotel,Task_0c685de,Task,True
nemotron-3-super-120b,OriginalDataset/Hotel,Task_1y44uft,Task,False
nemotron-3-super-120b,OriginalDataset/Hotel,Task_0h8ljxx,Task,True
nemotron-3-super-120b,OriginalDataset/Hotel,Task_0vkxpbk,Task,False
nemotron-3-super-120b,OriginalDataset/Hotel,Task_19oznyv,Task,True
nemotron-3-super-120b,OriginalDataset/Hotel,Task_16m28ah,Task,True
nemotron-3-super-120b,OriginalDataset/Hotel,Task_1esbsdw,Task,True
nemotron-3-super-120b,OriginalDataset/Hotel,Task_05jr8ik,Task,False
nemotron-3-super-120b,OriginalDataset/Hotel,Task_0z390gs,Task,True
nemotron-3-super-120b,OriginalDataset/Model1-4,Task_5,Task,False
nemotron-3-super-120b,OriginalDataset/Model1-4,Task_6,Task,True
nemotron-3-super-120b,OriginalDataset/Model1-4,Task_3,Task,False
nemotron-3-super-120b,OriginalDataset/Model1-4,Task_1,Task,True
nemotron-3-super-120b,OriginalDataset/Model1-4,Task_4,Task,True
nemotron-3-super-120b,OriginalDataset/Model1-4,IntermediateMessageEventCatching_1,IntermediateCatchEvent,True
nemotron-3-super-120b,OriginalDataset/Model1-4,Task_2,Task,True
nemotron-3-super-120b,OriginalDataset/Model10-10,Task_5,Task,True
nemotron-3-super-120b,OriginalDataset/Model10-10,Task_6,Task,True
nemotron-3-super-120b,OriginalDataset/Model10-10,Task_7,Task,True
nemotron-3-super-120b,OriginalDataset/Model10-10,Task_3,Task,False
nemotron-3-super-120b,OriginalDataset/Model10-10,Task_1,Task,True
nemotron-3-super-120b,OriginalDataset/Model10-10,Task_4,Task,False
nemotron-3-super-120b,OriginalDataset/Model10-10,Task_9,Task,True
nemotron-3-super-120b,OriginalDataset/Model10-10,Task_8,Task,True
nemotron-3-super-120b,OriginalDataset/Model10-10,Task_2,Task,True
nemotron-3-super-120b,OriginalDataset/Model10-10,Task_0,Task,True
nemotron-3-super-120b,OriginalDataset/Model10-1,Task_2,Task,True
nemotron-3-super-120b,OriginalDataset/Model10-1,Task_3,Task,True
nemotron-3-super-120b,OriginalDataset/Model10-1,Task_1,Task,False
