model,case,milestone,best_score,best_activity_label,best_activity_type,best_activity_own_best_score,cause,winning_candidates_on_same_activity
gpt-5.5,OriginalDataset/Hospital,examination.requested,0.3911,Order examination & follow-up treatment,Task,0.4785,lost_to_margin,examination_order.placed; follow_up_treatment_order.placed
gpt-5.5,OriginalDataset/Hospital,examination_form.filled,0.3594,Prepare examination,Task,0.5729,lost_to_margin,examination.prepared
gpt-5.5,OriginalDataset/Hospital,information.provided,0.197,Inform about risks,Task,0.2307,below_threshold,
gpt-5.5,OriginalDataset/Hospital,informed_consent.signed,0.1304,Describe therapy,Task,0.6837,below_threshold,
gpt-5.5,OriginalDataset/Hospital,lab.indicated,0.2197,Validate results,Task,0.7088,below_threshold,
gpt-5.5,OriginalDataset/Hospital,lab.suitable,0.1616,Validate results,Task,0.7088,below_threshold,
gpt-5.5,OriginalDataset/Hospital,patient.additional_examination_needed,0.3949,Order examination & follow-up treatment,Task,0.4785,lost_to_margin,examination_order.placed; follow_up_treatment_order.placed
gpt-5.5,OriginalDataset/Hospital,patient.consented,0.2301,Release patient,Task,0.2792,below_threshold,
gpt-5.5,OriginalDataset/Hospital,patient.diagnosed,0.4952,Make diagnosis,Task,0.7968,lost_to_margin,diagnosis.made
gpt-5.5,OriginalDataset/Hospital,patient.informed,0.2371,Examine patient,Task,0.4675,below_threshold,
gpt-5.5,OriginalDataset/Hospital,patient.treated,0.3188,Describe therapy,Task,0.6837,lost_to_margin,therapy.prescribed
gpt-5.5,OriginalDataset/Hospital,procedure.continued,0.2447,Perform follow-up treatment,Task,0.5011,below_threshold,
gpt-5.5,OriginalDataset/Hospital,request_form.filled,0.1476,Make diagnosis,Task,0.7968,below_threshold,
gpt-5.5,OriginalDataset/Hospital,sample.contaminated,0.2827,Send sample,Task,0.4726,lost_to_margin,sample.sent
gpt-5.5,OriginalDataset/Hospital,sample.usable,0.2599,Take sample,Task,0.4002,lost_to_margin,sample.taken
gpt-5.5,OriginalDataset/Hospital,sampling.prepared,0.2475,Take sample,Task,0.4002,below_threshold,
gpt-5.5,OriginalDataset/Hospital,ward.responsible,0.0939,Inform about risks,Task,0.2307,below_threshold,
gpt-5.5,OriginalDataset/HotelService,alcoholic_beverage.ready,0.3492,Prepare alcoholic beverages,Task,0.4316,lost_to_margin,alcoholic_beverage.prepared
gpt-5.5,OriginalDataset/HotelService,cart.readied,0.4204,Ready cart,Task,0.5069,lost_to_margin,cart.ready
gpt-5.5,OriginalDataset/HotelService,food.delivered,0.3134,Return to room-service ,Task,0.5754,lost_to_margin,room_service_order.delivered; room_service_order.taken_down; room_service_order.assigned
gpt-5.5,OriginalDataset/HotelService,food.ready,0.3691,Prepare meal,Task,0.4419,lost_to_margin,food.prepared
gpt-5.5,OriginalDataset/HotelService,kitchen_task.in_progress,0.3644,Submit order ticket to kitchen,Task,0.4991,lost_to_margin,order_ticket.submitted
gpt-5.5,OriginalDataset/HotelService,non_alcoholic_drink.ready,0.4011,Prepare non-alcoholic drinks,Task,0.4542,lost_to_margin,non_alcoholic_drink.prepared
gpt-5.5,OriginalDataset/HotelService,wine.delivered,0.3009,Fetch wine from cellar,Task,0.3731,lost_to_margin,wine.fetched
gpt-5.5,OriginalDataset/HotelService,wine.ready,0.285,Ready cart,Task,0.5069,lost_to_margin,cart.ready
gpt-5.5,OriginalDataset/Hotel,alcoholic_beverage.delivered,0.3031,Prepare Alcoholic Beverages,Task,0.4075,lost_to_margin,alcoholic_beverage.prepared
gpt-5.5,OriginalDataset/Hotel,alcoholic_beverage.ready,0.3182,Prepare Alcoholic Beverages,Task,0.4075,lost_to_margin,alcoholic_beverage.prepared
gpt-5.5,OriginalDataset/Hotel,cart.readied,0.4095,Ready Cart,Task,0.4885,lost_to_margin,cart.ready
gpt-5.5,OriginalDataset/Hotel,food.delivered,0.2817,Prepare Meal,Task,0.4173,lost_to_margin,food.preparing
gpt-5.5,OriginalDataset/Hotel,food.ready,0.3373,Prepare Meal,Task,0.4173,lost_to_margin,food.preparing
gpt-5.5,OriginalDataset/Hotel,kitchen_task.in_progress,0.345,Submit Order Ticket to Kitchen,Task,0.5082,lost_to_margin,order_ticket.submitted
gpt-5.5,OriginalDataset/Hotel,nonalcoholic_drink.delivered,0.3869,Prepare Non-Alcoholic Drinks,Task,0.4794,lost_to_margin,nonalcoholic_drink.prepared
gpt-5.5,OriginalDataset/Hotel,silverware.gathered,0.1928,Return to Room-Service Station,Task,0.5199,below_threshold,
gpt-5.5,OriginalDataset/Hotel,sommelier_task.in_progress,0.3529,Give Order to Sommelier,Task,0.4507,lost_to_margin,sommelier_order.given
gpt-5.5,OriginalDataset/Hotel,tablecloth.placed,0.1378,Return to Room-Service Station,Task,0.5199,below_threshold,
gpt-5.5,OriginalDataset/Hotel,wine.delivered,0.3098,Fetch Wine from Cellar,Task,0.3682,lost_to_margin,wine.fetched
gpt-5.5,OriginalDataset/Hotel,wine.ready,0.2841,Fetch Wine from Cellar,Task,0.3682,lost_to_margin,wine.fetched
gpt-5.5,OriginalDataset/Model1-2,computer.brought_in,0.5154,Bring in defective computer,Task,0.5961,lost_to_margin,computer.defective
gpt-5.5,OriginalDataset/Model1-2,computer.unrepaired,0.3859,Bring in defective computer,Task,0.5961,lost_to_margin,computer.defective
gpt-5.5,OriginalDataset/Model1-2,cost.acceptable,0.2385,Receive repair cost calculation,Task,0.5076,below_threshold,
gpt-5.5,OriginalDataset/Model1-2,cost.unacceptable,0.2346,Receive repair cost calculation,Task,0.5076,below_threshold,
gpt-5.5,OriginalDataset/Model1-2,defect.checked,0.313,Bring in defective computer,Task,0.5961,lost_to_margin,computer.defective
gpt-5.5,OriginalDataset/Model1-2,error.detected,0.2904,Bring in defective computer,Task,0.5961,lost_to_margin,computer.defective
gpt-5.5,OriginalDataset/Model1-2,repair.finished,0.3349,Receive repair cost calculation,Task,0.5076,lost_to_margin,repair_cost_calculation.handed_out
gpt-5.5,OriginalDataset/Model1-2,repair.ongoing,0.3117,Receive repair cost calculation,Task,0.5076,lost_to_margin,repair_cost_calculation.handed_out
gpt-5.5,OriginalDataset/Model1-2,repair_activity.executed,0.3299,Receive repair cost calculation,Task,0.5076,lost_to_margin,repair_cost_calculation.handed_out
gpt-5.5,OriginalDataset/Model1-4,fact.fairly_presented,0.1544,Offer to public,Task,0.4896,below_threshold,
gpt-5.5,OriginalDataset/Model1-4,firm_commitment.entered,0.1403,Offer to public,Task,0.4896,below_threshold,
gpt-5.5,OriginalDataset/Model1-4,issue.approved,0.2886,Fix issue price,Task,0.4501,lost_to_margin,issue_price.fixed
gpt-5.5,OriginalDataset/Model1-4,issue.bought,0.4432,Buy stock,Task,0.8413,lost_to_margin,stock.bought
gpt-5.5,OriginalDataset/Model1-4,issue.handled,0.3488,Fix issue price,Task,0.4501,lost_to_margin,issue_price.fixed
gpt-5.5,OriginalDataset/Model1-4,issue.resold,0.3253,Fix issue price,Task,0.4501,lost_to_margin,issue_price.fixed
gpt-5.5,OriginalDataset/Model1-4,issue_price.being_firmed,0.374,Fix issue price,Task,0.4501,lost_to_margin,issue_price.fixed
gpt-5.5,OriginalDataset/Model1-4,registration_statement.awaiting_approval,0.7294,Prepare registration statement for approval of SEC,Task,0.8186,lost_to_margin,registration_statement.prepared
gpt-5.5,OriginalDataset/Model1-4,registration_statement.cleared,0.6682,Prepare registration statement for approval of SEC,Task,0.8186,lost_to_margin,registration_statement.prepared
gpt-5.5,OriginalDataset/Model10-10,fault_detector.informed,0.4492,Inform about the results of the repair of the fault,Task,0.6522,lost_to_margin,fault.fixed
gpt-5.5,OriginalDataset/Model10-10,interference.resolved,0.387,Inform about the resolution of the inference,Task,0.4645,lost_to_margin,resolution.reported
gpt-5.5,OriginalDataset/Model10-10,measuring_device.fixed,0.209,Repair the fault,Task,0.7712,below_threshold,
gpt-5.5,OriginalDataset/Model10-10,repair.carried_out,0.6821,Repair the fault,Task,0.7712,lost_to_margin,fault.fixed
gpt-5.5,OriginalDataset/Model10-10,result.shared,0.2756,Inform about the results of the repair of the fault,Task,0.6522,lost_to_margin,fault.fixed
gpt-5.5,OriginalDataset/Model10-1,mpon.dismissed,0.3763,Conduct dismissal,Task,0.6196,lost_to_margin,dismissal.sent; dismissal.reviewed; dismissal.confirmed
gpt-5.5,OriginalDataset/Model10-1,mpoo.confirmed,0.1941,Confirm the dismissal,Task,0.5381,below_threshold,
gpt-5.5,OriginalDataset/Model10-1,mpoo.opposed,0.1003,Reject the dismissal,Task,0.4601,below_threshold,
gpt-oss-20b,OriginalDataset/BicycleManufacturing,engineering_department.assembled,0.3021,Inform storehouse and engineering department,Task,0.4061,lost_to_margin,engineering_department.informed
gpt-oss-20b,OriginalDataset/BicycleManufacturing,engineering_department.prepared,0.3116,Inform storehouse and engineering department,Task,0.4061,lost_to_margin,engineering_department.informed
gpt-oss-20b,OriginalDataset/BicycleManufacturing,order.accepted,0.2817,Receive order,Task,0.338,lost_to_margin,sale_department.receives_order
gpt-oss-20b,OriginalDataset/BicycleManufacturing,order.rejected,0.2513,Receive order,Task,0.338,lost_to_margin,sale_department.receives_order
gpt-oss-20b,OriginalDataset/BicycleManufacturing,process_instance.created,0.1202,Check part quantity,Task,0.3143,below_threshold,
gpt-oss-20b,OriginalDataset/BicycleManufacturing,process_instance.finished,0.1554,Prepare for assembling,Task,0.2751,below_threshold,
gpt-oss-20b,OriginalDataset/BicycleManufacturing,sale_department.accepts,0.165,Ship bicycle to customer,Task,0.7223,below_threshold,
gpt-oss-20b,OriginalDataset/BicycleManufacturing,sale_department.rejects,0.1671,Ship bicycle to customer,Task,0.7223,below_threshold,
gpt-oss-20b,OriginalDataset/BicycleManufacturing,storehouse.back_ordered,0.3276,Back-order part,Task,0.466,lost_to_margin,part.back_ordered
gpt-oss-20b,OriginalDataset/BicycleManufacturing,storehouse.informed,0.3065,Inform storehouse and engineering department,Task,0.4061,lost_to_margin,engineering_department.informed
gpt-oss-20b,OriginalDataset/BicycleManufacturing,storehouse.processed,0.2483,Inform storehouse and engineering department,Task,0.4061,below_threshold,
gpt-oss-20b,OriginalDataset/BicycleManufacturing,storehouse.reserved,0.2573,Reserve part,Task,0.4526,lost_to_margin,part.reserved
gpt-oss-20b,OriginalDataset/ClaimsCreation,action_plan_checklist.available,0.6403,Create action plan,Task,0.8854,lost_to_margin,action_plan.created
gpt-oss-20b,OriginalDataset/Hospital,lab.decided_on_sample_use,0.2405,Send sample,Task,0.4726,below_threshold,
gpt-oss-20b,OriginalDataset/Hospital,request_form.filled_out,0.1297,Describe therapy,Task,0.2351,below_threshold,
gpt-oss-20b,OriginalDataset/Hospital,sample.contaminated,0.2827,Send sample,Task,0.4726,lost_to_margin,sample.sent
gpt-oss-20b,OriginalDataset/Hotel,kitchen.ready,0.3118,Submit Order Ticket to Kitchen,Task,0.4031,lost_to_margin,room_service_order.submitted
gpt-oss-20b,OriginalDataset/Model1-2,defective_computer.unrepaired,0.5241,Bring in defective computer,Task,0.6099,lost_to_margin,defective_computer.presented
gpt-oss-20b,OriginalDataset/Model1-2,error_detected.detected,0.2841,Bring in defective computer,Task,0.6099,lost_to_margin,defective_computer.presented
gpt-oss-20b,OriginalDataset/Model1-2,repair_finished.finished,0.3056,Receive repair cost calculation,Task,0.5649,lost_to_margin,repair_cost_calculation.issued
gpt-oss-20b,OriginalDataset/Model1-2,repair_process.finished,0.3488,Receive repair cost calculation,Task,0.5649,lost_to_margin,repair_cost_calculation.issued
gpt-oss-20b,OriginalDataset/Model1-2,repair_process.ongoing,0.3298,Receive repair cost calculation,Task,0.5649,lost_to_margin,repair_cost_calculation.issued
gpt-oss-20b,OriginalDataset/Model1-4,clearance.received,0.2173,Prepare registration statement for approval of SEC,Task,0.8186,below_threshold,
gpt-oss-20b,OriginalDataset/Model1-4,firm_commitment.entered,0.1403,Offer to public,Task,0.4896,below_threshold,
gpt-oss-20b,OriginalDataset/Model1-4,issue.approved,0.2886,Fix issue price,Task,0.4501,lost_to_margin,issue_price.fixed; issue.priced
gpt-oss-20b,OriginalDataset/Model1-4,issue.sold,0.3067,Buy stock,Task,0.5372,lost_to_margin,stock.offered
gpt-oss-20b,OriginalDataset/Model1-4,issue_price.firmed,0.3663,Fix issue price,Task,0.4501,lost_to_margin,issue_price.fixed; issue.priced
gpt-oss-20b,OriginalDataset/Model1-4,registration_statement.approved,0.7539,Prepare registration statement for approval of SEC,Task,0.8186,lost_to_margin,registration_statement.prepared
gpt-oss-20b,OriginalDataset/Model1-4,registration_statement.awaiting_approval,0.7294,Prepare registration statement for approval of SEC,Task,0.8186,lost_to_margin,registration_statement.prepared
gpt-oss-20b,OriginalDataset/Model1-4,road_show.arranged,0.2329,Offer to public,Task,0.4896,below_threshold,
gpt-oss-20b,OriginalDataset/Model1-4,road_show.conducted,0.2244,Offer to public,Task,0.4896,below_threshold,
gpt-oss-20b,OriginalDataset/Model10-10,measuring_device.fixed,0.209,Repair the fault,Task,0.6764,below_threshold,
llama-3.1-8b,OriginalDataset/BicycleManufacturing,order.accepted,0.2817,Receive order,Task,0.4193,lost_to_margin,order.received
llama-3.1-8b,OriginalDataset/BicycleManufacturing,order.rejected,0.2513,Receive order,Task,0.4193,lost_to_margin,order.received
llama-3.1-8b,OriginalDataset/BicycleManufacturing,order_shipment.finished,0.3947,Ship bicycle to customer,Task,0.467,lost_to_margin,bicycle.prepared
llama-3.1-8b,OriginalDataset/BicycleManufacturing,part_list.complete,0.2367,Check part quantity,Task,0.3143,below_threshold,
llama-3.1-8b,OriginalDataset/BicycleManufacturing,sale_department.informed,0.2187,Inform storehouse and engineering department,Task,0.4061,below_threshold,
llama-3.1-8b,OriginalDataset/BicycleManufacturing,storehouse.informed,0.3065,Inform storehouse and engineering department,Task,0.4061,lost_to_margin,engineering_department.informed
llama-3.1-8b,OriginalDataset/ClaimsCreation,car_accident.searched,0.3693,Search police report database,Task,0.7142,lost_to_margin,police_report.searched
llama-3.1-8b,OriginalDataset/ClaimsCreation,outcome.finalized,0.2188,Negotiate estimate settlement,Task,0.7057,below_threshold,
llama-3.1-8b,OriginalDataset/Hospital,examination_form.filled_out,0.3575,Prepare examination,Task,0.4093,lost_to_margin,examination_process.in_progress; examination_process.complete
llama-3.1-8b,OriginalDataset/Hospital,informed_consent.signed,0.1304,Describe therapy,Task,0.2349,below_threshold,
llama-3.1-8b,OriginalDataset/Hospital,lab.suitable,0.1616,Validate results,Task,0.4982,below_threshold,
llama-3.1-8b,OriginalDataset/Hospital,outpatient_section.prepared,0.2115,Prepare examination,Task,0.4093,below_threshold,
llama-3.1-8b,OriginalDataset/Hospital,request_form.filled_out,0.1297,Describe therapy,Task,0.2349,below_threshold,
llama-3.1-8b,OriginalDataset/Hospital,sample.contaminated,0.2827,Send sample,Task,0.4726,lost_to_margin,sample.sent
llama-3.1-8b,OriginalDataset/Hospital,sample.prepared,0.312,Send sample,Task,0.4726,lost_to_margin,sample.sent
llama-3.1-8b,OriginalDataset/Hospital,ward.responsible,0.0939,Inform about risks,Task,0.1207,below_threshold,
mistral-nemotron,OriginalDataset/BicycleManufacturing,order.accepted,0.2817,Receive order,Task,0.4193,lost_to_margin,order.received
mistral-nemotron,OriginalDataset/BicycleManufacturing,order.rejected,0.2513,Receive order,Task,0.4193,lost_to_margin,order.received
mistral-nemotron,OriginalDataset/BicycleManufacturing,part_list.fully_reserved,0.339,Reserve part,Task,0.4526,lost_to_margin,part.reserved
mistral-nemotron,OriginalDataset/BicycleManufacturing,process_instance.created,0.1202,Check part quantity,Task,0.3143,below_threshold,
mistral-nemotron,OriginalDataset/BicycleManufacturing,process_instance.finished,0.1554,Prepare for assembling,Task,0.3044,below_threshold,
mistral-nemotron,OriginalDataset/ClaimsCreation,action_plan.based_on_checklist,0.6598,Create action plan,Task,0.8854,lost_to_margin,action_plan.created
mistral-nemotron,OriginalDataset/ClaimsCreation,action_plan_checklist.available,0.6403,Create action plan,Task,0.8854,lost_to_margin,action_plan.created
mistral-nemotron,OriginalDataset/ClaimsCreation,file.input_to_claims_handler,0.3751,Calculate claim estimate,Task,0.8233,lost_to_margin,initial_claim_estimate.calculated
mistral-nemotron,OriginalDataset/ClaimsCreation,outcome.communicated,0.2845,Notify claimant,Task,0.4276,lost_to_margin,claim_documentation.in_file; initial_claim_estimate.calculated
mistral-nemotron,OriginalDataset/ClaimsCreation,police_report.in_file,0.5609,Search police report database,Task,0.7142,lost_to_margin,police_report.searched
mistral-nemotron,OriginalDataset/Hospital,analysis.performed,0.3125,Analyse sample,Task,0.4109,lost_to_margin,sample.analysed
mistral-nemotron,OriginalDataset/Hospital,examination_form.filled_out,0.3575,Prepare examination,Task,0.4677,lost_to_margin,examination_and_sampling.prepared
mistral-nemotron,OriginalDataset/Hospital,informed_consent.signed,0.1304,Describe therapy,Task,0.6837,below_threshold,
mistral-nemotron,OriginalDataset/Hospital,patient.appointed,0.2304,Make appointment,Task,0.4179,below_threshold,
mistral-nemotron,OriginalDataset/Hospital,patient.consented,0.2301,Release patient,Task,0.2792,below_threshold,
mistral-nemotron,OriginalDataset/Hospital,patient.diagnosed,0.4952,Make diagnosis,Task,0.7968,lost_to_margin,diagnosis.made
mistral-nemotron,OriginalDataset/Hospital,patient.informed,0.2371,Examine patient,Task,0.4675,below_threshold,
mistral-nemotron,OriginalDataset/Hospital,patient.sampled,0.2791,Take sample,Task,0.4002,lost_to_margin,sample.taken
mistral-nemotron,OriginalDataset/Hospital,patient.under_therapy,0.4903,Describe therapy,Task,0.6837,lost_to_margin,therapy.prescribed
mistral-nemotron,OriginalDataset/Hospital,request_form.filled_out,0.1297,Describe therapy,Task,0.6837,below_threshold,
mistral-nemotron,OriginalDataset/Hospital,request_form.includes_details,0.157,Make diagnosis,Task,0.7968,below_threshold,
mistral-nemotron,OriginalDataset/Hospital,request_form.refers_to_lab,0.1203,Send sample,Task,0.3564,below_threshold,
mistral-nemotron,OriginalDataset/Hospital,sample.contaminated,0.2827,Send sample,Task,0.3564,lost_to_margin,sample.sent_to_lab; sample.taken
mistral-nemotron,OriginalDataset/HotelService,cart_preparation.in_progress,0.3775,Ready cart,Task,0.4541,lost_to_margin,cart_preparation.ready
mistral-nemotron,OriginalDataset/Hotel,cart_preparation.in_progress,0.3639,Ready Cart,Task,0.4392,lost_to_margin,cart_preparation.ready
mistral-nemotron,OriginalDataset/Hotel,order.billed,0.2348,Submit Order Ticket to Kitchen,Task,0.6056,below_threshold,
mistral-nemotron,OriginalDataset/Hotel,order.delivered,0.2787,Submit Order Ticket to Kitchen,Task,0.6056,lost_to_margin,order.submitted_to_kitchen
mistral-nemotron,OriginalDataset/Hotel,wine_preparation.ready,0.2698,Prepare Meal,Task,0.4037,lost_to_margin,food_preparation.in_progress; food_preparation.ready
mistral-nemotron,OriginalDataset/Model1-2,computer.repaired,0.3994,Bring in defective computer,Task,0.5961,lost_to_margin,computer.defective
mistral-nemotron,OriginalDataset/Model1-2,computer.under_repair,0.3898,Bring in defective computer,Task,0.5961,lost_to_margin,computer.defective
mistral-nemotron,OriginalDataset/Model1-2,computer.unrepaired,0.3859,Bring in defective computer,Task,0.5961,lost_to_margin,computer.defective
mistral-nemotron,OriginalDataset/Model1-2,repair_process.finished,0.3488,Receive repair cost calculation,Task,0.5649,lost_to_margin,repair_cost_calculation.issued
mistral-nemotron,OriginalDataset/Model1-2,repair_process.ongoing,0.3298,Receive repair cost calculation,Task,0.5649,lost_to_margin,repair_cost_calculation.issued
mistral-nemotron,OriginalDataset/Model1-2,software_configuration.in_progress,0.362,Check and configure software,Task,0.4377,lost_to_margin,software_configuration.complete
mistral-nemotron,OriginalDataset/Model1-4,firm_commitment.entered,0.1403,Offer to public,Task,0.4576,below_threshold,
mistral-nemotron,OriginalDataset/Model1-4,issue.registered,0.2815,Fix issue price,Task,0.4501,lost_to_margin,issue_price.fixed; issue.priced
mistral-nemotron,OriginalDataset/Model1-4,issue_price.firmed_up,0.3908,Fix issue price,Task,0.4501,lost_to_margin,issue_price.fixed; issue.priced
mistral-nemotron,OriginalDataset/Model1-4,registration_statement.approved,0.7539,Prepare registration statement for approval of SEC,Task,0.8186,lost_to_margin,registration_statement.prepared
mistral-nemotron,OriginalDataset/Model1-4,registration_statement.awaiting_approval,0.7294,Prepare registration statement for approval of SEC,Task,0.8186,lost_to_margin,registration_statement.prepared
mistral-nemotron,OriginalDataset/Model1-4,road_show.arranged,0.2329,Offer to public,Task,0.4576,below_threshold,
mistral-nemotron,OriginalDataset/Model1-4,road_show.conducted,0.2244,Offer to public,Task,0.4576,below_threshold,
mistral-nemotron,OriginalDataset/Model10-10,fault_detector.results_shared,0.4743,Inform about the results of the repair of the fault,Task,0.5257,lost_to_margin,measuring_device.fault_fixed
mistral-nemotron,OriginalDataset/Model10-1,mpon.dismissed,0.3763,Conduct dismissal,Task,0.6196,lost_to_margin,dismissal.sent; dismissal.confirmed
mistral-nemotron,OriginalDataset/Model10-1,mpoo.confirming,0.2092,Confirm the dismissal,Task,0.5381,below_threshold,
mistral-nemotron,OriginalDataset/Model10-1,mpoo.opposing,0.0967,Reject the dismissal,Task,0.4601,below_threshold,
mistral-nemotron,OriginalDataset/Model10-1,mpoo.reviewing,0.2005,Review,Task,0.2581,below_threshold,
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,claim_documentation.put_in_file,0.4056,Notify claimant,Task,0.6611,lost_to_margin,claim_estimate.informed_to_claimant
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,logistics_department_head.taking_insurance,0.2352,Get 3 offersfrom logisticcompanies,Task,0.2352,below_threshold,
nemotron-3-super-120b,OriginalDataset/Hospital,patient.informed_consent_signed,0.1974,Release patient,Task,0.2792,below_threshold,
nemotron-3-super-120b,OriginalDataset/Hospital,patient.sample_taken,0.3131,Take sample,Task,0.4002,lost_to_margin,sample.taken
nemotron-3-super-120b,OriginalDataset/Hospital,request_form.filled_out,0.1297,Describe therapy,Task,0.547,below_threshold,
nemotron-3-super-120b,OriginalDataset/Hospital,request_form.placed,0.1319,Make diagnosis,Task,0.4952,below_threshold,
nemotron-3-super-120b,OriginalDataset/Hospital,sample.contaminated,0.2827,Send sample,Task,0.3564,lost_to_margin,sample.sent_to_lab; sample.new_sample_required; sample.taken; sample.prepared
nemotron-3-super-120b,OriginalDataset/Hospital,ward.responsible_for_sample_taking,0.317,Take sample,Task,0.4002,lost_to_margin,sample.taken
nemotron-3-super-120b,OriginalDataset/HotelService,order.billed,0.215,Submit order ticket to kitchen,Task,0.3685,below_threshold,
nemotron-3-super-120b,OriginalDataset/HotelService,order.ready,0.3624,Ready cart,Task,0.4204,lost_to_margin,cart.readied
nemotron-3-super-120b,OriginalDataset/Hotel,kitchen.preparing_food,0.3406,Prepare Meal,Task,0.4095,lost_to_margin,food.prepared
nemotron-3-super-120b,OriginalDataset/Hotel,order.billed,0.2348,Submit Order Ticket to Kitchen,Task,0.6056,below_threshold,
nemotron-3-super-120b,OriginalDataset/Hotel,order.delivered,0.2787,Submit Order Ticket to Kitchen,Task,0.6056,lost_to_margin,order.submitted_to_kitchen
nemotron-3-super-120b,OriginalDataset/Hotel,order_ticket.submitted,0.5082,Submit Order Ticket to Kitchen,Task,0.6056,lost_to_margin,order.submitted_to_kitchen
nemotron-3-super-120b,OriginalDataset/Hotel,wine.prepared,0.2491,Prepare Alcoholic Beverages,Task,0.2491,below_threshold,
nemotron-3-super-120b,OriginalDataset/Model1-4,commitment.entered_into,0.1846,Offer to public,Task,0.7143,below_threshold,
nemotron-3-super-120b,OriginalDataset/Model1-4,commitment.firm,0.1235,Buy stock,Task,0.2331,below_threshold,
nemotron-3-super-120b,OriginalDataset/Model1-4,issue.handled,0.3488,Fix issue price,Task,0.4106,lost_to_margin,issue.priced; price.fixed
nemotron-3-super-120b,OriginalDataset/Model1-4,price.firmed_up,0.3076,Fix issue price,Task,0.4106,lost_to_margin,issue.priced; price.fixed
nemotron-3-super-120b,OriginalDataset/Model1-4,registration_statement.awaiting_approval,0.7294,Prepare registration statement for approval of SEC,Task,0.8233,lost_to_margin,registration_statement.approved_by_sec
nemotron-3-super-120b,OriginalDataset/Model1-4,road_show.arranged,0.2329,Offer to public,Task,0.7143,below_threshold,
nemotron-3-super-120b,OriginalDataset/Model1-4,road_show.conducted,0.2244,Offer to public,Task,0.7143,below_threshold,
nemotron-3-super-120b,OriginalDataset/Model10-10,fault_detector.confirmed,0.4268,Repair the fault,Task,0.7712,lost_to_margin,fault.fixed
nemotron-3-super-120b,OriginalDataset/Model10-10,fault_detector.rejected,0.3622,Repair the fault,Task,0.7712,lost_to_margin,fault.fixed
nemotron-3-super-120b,OriginalDataset/Model10-10,measuring_device.repaired,0.4248,Repair the fault,Task,0.7712,lost_to_margin,fault.fixed
nemotron-3-super-120b,OriginalDataset/Model10-10,result.shared,0.2756,Inform about the results of the repair of the fault,Task,0.6522,lost_to_margin,fault.fixed
